TERM_DESCR,INSTITUTION,CAMPUS,SUBJECT,CATALOG_NBR,CLASS_SECTION,COMPONENT_MAIN,DESCR,CRSE_GRADE_OFF,CLASS_HDCNT,GRADE_HDCNT,INSTR_ROLE,HR_NAME,JOBCODE_DESCR,UM_JOBCODE_GROUP,INTERNET_ID
Fall 2024,UMNTC,UMNTC,AAS,1101,1,LEC,Imagining Asian America,A,25,6,PI,"Ho,Karen",Professor,FA,karenho
Fall 2024,UMNTC,UMNTC,AAS,1101,1,LEC,Imagining Asian America,A-,25,7,PI,"Ho,Karen",Professor,FA,karenho
Fall 2024,UMNTC,UMNTC,AAS,1101,1,LEC,Imagining Asian America,B,25,5,PI,"Ho,Karen",Professor,FA,karenho
Fall 2024,UMNTC,UMNTC,AAS,1101,1,LEC,Imagining Asian America,B+,25,1,PI,"Ho,Karen",Professor,FA,karenho
Fall 2024,UMNTC,UMNTC,AAS,1101,1,LEC,Imagining Asian America,B-,25,1,PI,"Ho,Karen",Professor,FA,karenho
Fall 2024,UMNTC,UMNTC,AAS,1101,1,LEC,Imagining Asian America,C,25,1,PI,"Ho,Karen",Professor,FA,karenho
Fall 2024,UMNTC,UMNTC,AAS,1101,1,LEC,Imagining Asian America,C+,25,1,PI,"Ho,Karen",Professor,FA,karenho
Fall 2024,UMNTC,UMNTC,AAS,1101,1,LEC,Imagining Asian America,S,25,2,PI,"Ho,Karen",Professor,FA,karenho
Fall 2024,UMNTC,UMNTC,AAS,1101,1,LEC,Imagining Asian America,W,25,1,PI,"Ho,Karen",Professor,FA,karenho
Fall 2024,UMNTC,UMNTC,AAS,3001,1,LEC,Contmp Persp on Asian America,A,10,6,PI,"Fajardo,Kale Bantigue",Associate Professor,FA,kfajardo
Fall 2024,UMNTC,UMNTC,AAS,3001,1,LEC,Contmp Persp on Asian America,A-,10,2,PI,"Fajardo,Kale Bantigue",Associate Professor,FA,kfajardo
Fall 2024,UMNTC,UMNTC,AAS,3001,1,LEC,Contmp Persp on Asian America,B,10,1,PI,"Fajardo,Kale Bantigue",Associate Professor,FA,kfajardo
Fall 2024,UMNTC,UMNTC,AAS,3001,1,LEC,Contmp Persp on Asian America,S,10,1,PI,"Fajardo,Kale Bantigue",Associate Professor,FA,kfajardo
Fall 2024,UMNTC,UMNTC,AAS,3211W,1,LEC,Race & Racism in the U.S.,A,21,5,PI,"Logan,Enid",Associate Professor,FA,elogan
Fall 2024,UMNTC,UMNTC,AAS,3211W,1,LEC,Race & Racism in the U.S.,A-,21,9,PI,"Logan,Enid",Associate Professor,FA,elogan
Fall 2024,UMNTC,UMNTC,AAS,3211W,1,LEC,Race & Racism in the U.S.,B,21,1,PI,"Logan,Enid",Associate Professor,FA,elogan
Fall 2024,UMNTC,UMNTC,AAS,3211W,1,LEC,Race & Racism in the U.S.,B-,21,2,PI,"Logan,Enid",Associate Professor,FA,elogan
Fall 2024,UMNTC,UMNTC,AAS,3211W,1,LEC,Race & Racism in the U.S.,C,21,1,PI,"Logan,Enid",Associate Professor,FA,elogan
Fall 2024,UMNTC,UMNTC,AAS,3211W,1,LEC,Race & Racism in the U.S.,C+,21,1,PI,"Logan,Enid",Associate Professor,FA,elogan
Fall 2024,UMNTC,UMNTC,AAS,3211W,1,LEC,Race & Racism in the U.S.,F,21,2,PI,"Logan,Enid",Associate Professor,FA,elogan
Fall 2024,UMNTC,UMNTC,AAS,3251W,1,LEC,"Race, Class, and Gender",A,25,12,PI,"Aguilar-Champeau,Matthew Roy",,,
Fall 2024,UMNTC,UMNTC,AAS,3251W,1,LEC,"Race, Class, and Gender",A-,25,5,PI,"Aguilar-Champeau,Matthew Roy",,,
Fall 2024,UMNTC,UMNTC,AAS,3251W,1,LEC,"Race, Class, and Gender",B+,25,3,PI,"Aguilar-Champeau,Matthew Roy",,,
Fall 2024,UMNTC,UMNTC,AAS,3251W,1,LEC,"Race, Class, and Gender",B-,25,3,PI,"Aguilar-Champeau,Matthew Roy",,,
Fall 2024,UMNTC,UMNTC,AAS,3251W,1,LEC,"Race, Class, and Gender",F,25,2,PI,"Aguilar-Champeau,Matthew Roy",,,
Fall 2024,UMNTC,UMNTC,AAS,3351,1,DIS,Asian Amer and Popular Culture,A,10,8,PI,"Chang,Nou-Chee",,,
Fall 2024,UMNTC,UMNTC,AAS,3351,1,DIS,Asian Amer and Popular Culture,B,10,1,PI,"Chang,Nou-Chee",,,
Fall 2024,UMNTC,UMNTC,AAS,3351,1,DIS,Asian Amer and Popular Culture,C,10,1,PI,"Chang,Nou-Chee",,,
