TERM,TERM_DESCR,INSTITUTION,CAMPUS,SUBJECT,CATALOG_NBR,CLASS_SECTION,COMPONENT_MAIN,DESCR,CRSE_GRADE_OFF,CLASS_HDCNT,GRADE_HDCNT,INSTR_ROLE,HR_NAME,JOBCODE_DESCR,UM_JOBCODE_GROUP,INTERNET_ID
1235,Sum 2023,UMNTC,UMNTC,ABUS,4545,301,LEC,Defying Workplace Racial Bias,W,24,1,PI,"Hampton,Phillip",Teaching Specialist,AP,hamptonp
1235,Sum 2023,UMNTC,UMNTC,ACCT,2051,1,LEC,Intr Financial Rptg,A,62,25,PI,"Johnson,Scott",Senior Lecturer,AP,joh20235
1235,Sum 2023,UMNTC,UMNTC,ACCT,2051,1,LEC,Intr Financial Rptg,A-,62,14,PI,"Johnson,Scott",Senior Lecturer,AP,joh20235
1235,Sum 2023,UMNTC,UMNTC,ACCT,2051,1,LEC,Intr Financial Rptg,B,62,4,PI,"Johnson,Scott",Senior Lecturer,AP,joh20235
1235,Sum 2023,UMNTC,UMNTC,ACCT,2051,1,LEC,Intr Financial Rptg,B+,62,7,PI,"Johnson,Scott",Senior Lecturer,AP,joh20235
1235,Sum 2023,UMNTC,UMNTC,ACCT,2051,1,LEC,Intr Financial Rptg,B-,62,2,PI,"Johnson,Scott",Senior Lecturer,AP,joh20235
1235,Sum 2023,UMNTC,UMNTC,ACCT,2051,1,LEC,Intr Financial Rptg,C,62,2,PI,"Johnson,Scott",Senior Lecturer,AP,joh20235
1235,Sum 2023,UMNTC,UMNTC,ACCT,2051,1,LEC,Intr Financial Rptg,C-,62,1,PI,"Johnson,Scott",Senior Lecturer,AP,joh20235
1235,Sum 2023,UMNTC,UMNTC,ACCT,2051,1,LEC,Intr Financial Rptg,D+,62,1,PI,"Johnson,Scott",Senior Lecturer,AP,joh20235
1235,Sum 2023,UMNTC,UMNTC,ACCT,2051,1,LEC,Intr Financial Rptg,F,62,5,PI,"Johnson,Scott",Senior Lecturer,AP,joh20235
1235,Sum 2023,UMNTC,UMNTC,ACCT,2051,1,LEC,Intr Financial Rptg,W,62,1,PI,"Johnson,Scott",Senior Lecturer,AP,joh20235
1235,Sum 2023,UMNTC,UMNTC,ACCT,3001,20,LEC,Strategic Mgmt Acct,A,42,9,PI,"Poch,Kendell Kaye",Senior Lecturer,AP,beck0620
1235,Sum 2023,UMNTC,UMNTC,ACCT,3001,20,LEC,Strategic Mgmt Acct,A-,42,6,PI,"Poch,Kendell Kaye",Senior Lecturer,AP,beck0620
1235,Sum 2023,UMNTC,UMNTC,ACCT,3001,20,LEC,Strategic Mgmt Acct,B,42,9,PI,"Poch,Kendell Kaye",Senior Lecturer,AP,beck0620
1235,Sum 2023,UMNTC,UMNTC,ACCT,3001,20,LEC,Strategic Mgmt Acct,B+,42,6,PI,"Poch,Kendell Kaye",Senior Lecturer,AP,beck0620
1235,Sum 2023,UMNTC,UMNTC,ACCT,3001,20,LEC,Strategic Mgmt Acct,B-,42,5,PI,"Poch,Kendell Kaye",Senior Lecturer,AP,beck0620
1235,Sum 2023,UMNTC,UMNTC,ACCT,3001,20,LEC,Strategic Mgmt Acct,C,42,3,PI,"Poch,Kendell Kaye",Senior Lecturer,AP,beck0620
1235,Sum 2023,UMNTC,UMNTC,ACCT,3001,20,LEC,Strategic Mgmt Acct,C+,42,2,PI,"Poch,Kendell Kaye",Senior Lecturer,AP,beck0620
1235,Sum 2023,UMNTC,UMNTC,ACCT,3001,20,LEC,Strategic Mgmt Acct,D,42,1,PI,"Poch,Kendell Kaye",Senior Lecturer,AP,beck0620
1235,Sum 2023,UMNTC,UMNTC,ACCT,3001,20,LEC,Strategic Mgmt Acct,F,42,1,PI,"Poch,Kendell Kaye",Senior Lecturer,AP,beck0620
1235,Sum 2023,UMNTC,UMNTC,ACCT,5101,20,LEC,Intermediate Accounting I,A,20,7,PI,"Johnson,Scott",Senior Lecturer,AP,joh20235
1235,Sum 2023,UMNTC,UMNTC,ACCT,5101,20,LEC,Intermediate Accounting I,A-,20,2,PI,"Johnson,Scott",Senior Lecturer,AP,joh20235
1235,Sum 2023,UMNTC,UMNTC,ACCT,5101,20,LEC,Intermediate Accounting I,B,20,2,PI,"Johnson,Scott",Senior Lecturer,AP,joh20235
1235,Sum 2023,UMNTC,UMNTC,ACCT,5101,20,LEC,Intermediate Accounting I,B+,20,1,PI,"Johnson,Scott",Senior Lecturer,AP,joh20235
1235,Sum 2023,UMNTC,UMNTC,ACCT,5101,20,LEC,Intermediate Accounting I,B-,20,2,PI,"Johnson,Scott",Senior Lecturer,AP,joh20235
1235,Sum 2023,UMNTC,UMNTC,ACCT,5101,20,LEC,Intermediate Accounting I,C,20,3,PI,"Johnson,Scott",Senior Lecturer,AP,joh20235
1235,Sum 2023,UMNTC,UMNTC,ACCT,5101,20,LEC,Intermediate Accounting I,C+,20,2,PI,"Johnson,Scott",Senior Lecturer,AP,joh20235
1235,Sum 2023,UMNTC,UMNTC,ACCT,5101,20,LEC,Intermediate Accounting I,C-,20,1,PI,"Johnson,Scott",Senior Lecturer,AP,joh20235
1235,Sum 2023,UMNTC,UMNTC,ADDS,5031,1,LEC,Applied Psychopharmacology,A,14,13,PI,"McLoone,Ian P",Teaching Specialist,AP,imcloone
1235,Sum 2023,UMNTC,UMNTC,ADDS,5031,1,LEC,Applied Psychopharmacology,B-,14,1,PI,"McLoone,Ian P",Teaching Specialist,AP,imcloone
1235,Sum 2023,UMNTC,UMNTC,ADDS,5061,1,LEC,Foundations of Group Work,A,12,11,PI,"Karim,Fiyyaz Allaui Anoor Ibn",Lecturer,AP,kari0057
1235,Sum 2023,UMNTC,UMNTC,ADDS,5061,1,LEC,Foundations of Group Work,B,12,1,PI,"Karim,Fiyyaz Allaui Anoor Ibn",Lecturer,AP,kari0057
1235,Sum 2023,UMNTC,UMNTC,ADDS,5091,1,LEC,Assessment & Treatment Plan I,A,10,9,PI,"Kammer,Roy",Professor,FA,rkammer
1235,Sum 2023,UMNTC,UMNTC,ADDS,5091,1,LEC,Assessment & Treatment Plan I,B,10,1,PI,"Kammer,Roy",Professor,FA,rkammer
1235,Sum 2023,UMNTC,UMNTC,AFRO,3625W,1,LEC,Women Writers Afr/Afr Diaspora,A,18,10,PI,"Gildersleeve,Courtney L",Lecturer,AP,giode001
1235,Sum 2023,UMNTC,UMNTC,AFRO,3625W,1,LEC,Women Writers Afr/Afr Diaspora,A-,18,2,PI,"Gildersleeve,Courtney L",Lecturer,AP,giode001
1235,Sum 2023,UMNTC,UMNTC,AFRO,3625W,1,LEC,Women Writers Afr/Afr Diaspora,B+,18,3,PI,"Gildersleeve,Courtney L",Lecturer,AP,giode001
1235,Sum 2023,UMNTC,UMNTC,AFRO,3625W,1,LEC,Women Writers Afr/Afr Diaspora,F,18,2,PI,"Gildersleeve,Courtney L",Lecturer,AP,giode001
1235,Sum 2023,UMNTC,UMNTC,AFRO,3625W,1,LEC,Women Writers Afr/Afr Diaspora,W,18,1,PI,"Gildersleeve,Courtney L",Lecturer,AP,giode001
1235,Sum 2023,UMNTC,UMNTC,AMES,3356W,1,LEC,Chinese Film,A,11,5,PI,"Meng,Chuanhui",,,
1235,Sum 2023,UMNTC,UMNTC,AMES,3356W,1,LEC,Chinese Film,A-,11,1,PI,"Meng,Chuanhui",,,
1235,Sum 2023,UMNTC,UMNTC,AMES,3356W,1,LEC,Chinese Film,B,11,1,PI,"Meng,Chuanhui",,,
1235,Sum 2023,UMNTC,UMNTC,AMES,3356W,1,LEC,Chinese Film,B+,11,2,PI,"Meng,Chuanhui",,,
1235,Sum 2023,UMNTC,UMNTC,AMES,3356W,1,LEC,Chinese Film,B-,11,2,PI,"Meng,Chuanhui",,,
1235,Sum 2023,UMNTC,UMNTC,AMES,3672,1,LEC,Buddhism,A,36,27,PI,"Rouzer,Paul F",Professor,FA,prouzer
1235,Sum 2023,UMNTC,UMNTC,AMES,3672,1,LEC,Buddhism,A-,36,3,PI,"Rouzer,Paul F",Professor,FA,prouzer
1235,Sum 2023,UMNTC,UMNTC,AMES,3672,1,LEC,Buddhism,B+,36,1,PI,"Rouzer,Paul F",Professor,FA,prouzer
1235,Sum 2023,UMNTC,UMNTC,AMES,3672,1,LEC,Buddhism,B-,36,2,PI,"Rouzer,Paul F",Professor,FA,prouzer
1235,Sum 2023,UMNTC,UMNTC,AMES,3672,1,LEC,Buddhism,F,36,1,PI,"Rouzer,Paul F",Professor,FA,prouzer
1235,Sum 2023,UMNTC,UMNTC,AMES,3672,1,LEC,Buddhism,S,36,2,PI,"Rouzer,Paul F",Professor,FA,prouzer
1235,Sum 2023,UMNTC,UMNTC,AMIN,1003,1,LEC,American Indians in MN,A,32,12,PI,"Ghebregzi,Alex Anthony",Teaching Specialist,AP,gheb0002
1235,Sum 2023,UMNTC,UMNTC,AMIN,1003,1,LEC,American Indians in MN,A-,32,8,PI,"Ghebregzi,Alex Anthony",Teaching Specialist,AP,gheb0002
1235,Sum 2023,UMNTC,UMNTC,AMIN,1003,1,LEC,American Indians in MN,B,32,3,PI,"Ghebregzi,Alex Anthony",Teaching Specialist,AP,gheb0002
1235,Sum 2023,UMNTC,UMNTC,AMIN,1003,1,LEC,American Indians in MN,B+,32,4,PI,"Ghebregzi,Alex Anthony",Teaching Specialist,AP,gheb0002
1235,Sum 2023,UMNTC,UMNTC,AMIN,1003,1,LEC,American Indians in MN,B-,32,2,PI,"Ghebregzi,Alex Anthony",Teaching Specialist,AP,gheb0002
1235,Sum 2023,UMNTC,UMNTC,AMIN,1003,1,LEC,American Indians in MN,W,32,3,PI,"Ghebregzi,Alex Anthony",Teaching Specialist,AP,gheb0002
1235,Sum 2023,UMNTC,UMNTC,AMIN,3304,1,LEC,Indigenous Filmmakers,A,23,14,PI,"Diaz,Vicente Miguel",Associate Professor,FA,vmdiaz
1235,Sum 2023,UMNTC,UMNTC,AMIN,3304,1,LEC,Indigenous Filmmakers,B+,23,1,PI,"Diaz,Vicente Miguel",Associate Professor,FA,vmdiaz
1235,Sum 2023,UMNTC,UMNTC,AMIN,3304,1,LEC,Indigenous Filmmakers,B-,23,1,PI,"Diaz,Vicente Miguel",Associate Professor,FA,vmdiaz
1235,Sum 2023,UMNTC,UMNTC,AMIN,3304,1,LEC,Indigenous Filmmakers,C+,23,4,PI,"Diaz,Vicente Miguel",Associate Professor,FA,vmdiaz
1235,Sum 2023,UMNTC,UMNTC,AMIN,3304,1,LEC,Indigenous Filmmakers,F,23,2,PI,"Diaz,Vicente Miguel",Associate Professor,FA,vmdiaz
1235,Sum 2023,UMNTC,UMNTC,AMIN,3304,1,LEC,Indigenous Filmmakers,S,23,1,PI,"Diaz,Vicente Miguel",Associate Professor,FA,vmdiaz
1235,Sum 2023,UMNTC,UMNTC,AMST,2011,1,DIS,U. S. since September 11th,A,59,38,PI,"Karjanen,David J",Associate Professor,FA,karjanen
1235,Sum 2023,UMNTC,UMNTC,AMST,2011,1,DIS,U. S. since September 11th,A-,59,6,PI,"Karjanen,David J",Associate Professor,FA,karjanen
1235,Sum 2023,UMNTC,UMNTC,AMST,2011,1,DIS,U. S. since September 11th,B,59,5,PI,"Karjanen,David J",Associate Professor,FA,karjanen
1235,Sum 2023,UMNTC,UMNTC,AMST,2011,1,DIS,U. S. since September 11th,B+,59,4,PI,"Karjanen,David J",Associate Professor,FA,karjanen
1235,Sum 2023,UMNTC,UMNTC,AMST,2011,1,DIS,U. S. since September 11th,F,59,1,PI,"Karjanen,David J",Associate Professor,FA,karjanen
1235,Sum 2023,UMNTC,UMNTC,AMST,2011,1,DIS,U. S. since September 11th,S,59,4,PI,"Karjanen,David J",Associate Professor,FA,karjanen
1235,Sum 2023,UMNTC,UMNTC,AMST,2011,1,DIS,U. S. since September 11th,W,59,1,PI,"Karjanen,David J",Associate Professor,FA,karjanen
1235,Sum 2023,UMNTC,UMNTC,AMST,2031,1,LEC,Chasing the American Dream,A,23,19,PI,"Karjanen,David J",Associate Professor,FA,karjanen
1235,Sum 2023,UMNTC,UMNTC,AMST,2031,1,LEC,Chasing the American Dream,B+,23,1,PI,"Karjanen,David J",Associate Professor,FA,karjanen
1235,Sum 2023,UMNTC,UMNTC,AMST,2031,1,LEC,Chasing the American Dream,C-,23,1,PI,"Karjanen,David J",Associate Professor,FA,karjanen
1235,Sum 2023,UMNTC,UMNTC,AMST,2031,1,LEC,Chasing the American Dream,S,23,2,PI,"Karjanen,David J",Associate Professor,FA,karjanen
1235,Sum 2023,UMNTC,UMNTC,ANAT,7999,1,LAB,Head & Neck,A,27,18,PI,"Cook,Mark S.",Associate Professor,FA,cookx072
1235,Sum 2023,UMNTC,UMNTC,ANAT,7999,1,LAB,Head & Neck,B,27,7,PI,"Cook,Mark S.",Associate Professor,FA,cookx072
1235,Sum 2023,UMNTC,UMNTC,ANAT,7999,1,LAB,Head & Neck,C,27,2,PI,"Cook,Mark S.",Associate Professor,FA,cookx072
1235,Sum 2023,UMNTC,UMNTC,ANSC,1701,1,LEC,Historical Influence of Horse,A,30,16,PI,"Palmer PhD,Melissa L",Teaching Associate Professor,FA,melissap
1235,Sum 2023,UMNTC,UMNTC,ANSC,1701,1,LEC,Historical Influence of Horse,A-,30,4,PI,"Palmer PhD,Melissa L",Teaching Associate Professor,FA,melissap
1235,Sum 2023,UMNTC,UMNTC,ANSC,1701,1,LEC,Historical Influence of Horse,B,30,1,PI,"Palmer PhD,Melissa L",Teaching Associate Professor,FA,melissap
1235,Sum 2023,UMNTC,UMNTC,ANSC,1701,1,LEC,Historical Influence of Horse,B+,30,2,PI,"Palmer PhD,Melissa L",Teaching Associate Professor,FA,melissap
