TERM,INSTITUTION,CAMPUS,SUBJECT,CATALOG_NBR,CLASS_SECTION,DESCR,CRSE_GRADE_OFF,GRADE_HDCNT,NAME,INTERNET_ID,FULL_NAME
1259,UMNTC,UMNTC,ABUS,3051,301,Career Search for Profl Envt,C,1,Carol Klempka,cklempka,ABUS 3051
1259,UMNTC,UMNTC,ABUS,3051,301,Career Search for Profl Envt,S,1,Carol Klempka,cklempka,ABUS 3051
1259,UMNTC,UMNTC,ABUS,3051,302,Career Search for Profl Envt,A,20,Caroline Marin,crmarin,ABUS 3051
1259,UMNTC,UMNTC,ABUS,3051,302,Career Search for Profl Envt,A-,2,Caroline Marin,crmarin,ABUS 3051
1259,UMNTC,UMNTC,ABUS,3051,302,Career Search for Profl Envt,B,1,Caroline Marin,crmarin,ABUS 3051
1259,UMNTC,UMNTC,ABUS,3051,302,Career Search for Profl Envt,B+,3,Caroline Marin,crmarin,ABUS 3051
1259,UMNTC,UMNTC,ABUS,3051,302,Career Search for Profl Envt,B-,5,Caroline Marin,crmarin,ABUS 3051
1259,UMNTC,UMNTC,ABUS,3051,302,Career Search for Profl Envt,F,2,Caroline Marin,crmarin,ABUS 3051
1259,UMNTC,UMNTC,ABUS,3051,302,Career Search for Profl Envt,S,1,Caroline Marin,crmarin,ABUS 3051
1259,UMNTC,UMNTC,ABUS,3051,304,Career Search for Profl Envt,A,22,Carol Klempka,cklempka,ABUS 3051
1259,UMNTC,UMNTC,ABUS,3051,304,Career Search for Profl Envt,A-,1,Carol Klempka,cklempka,ABUS 3051
1259,UMNTC,UMNTC,ABUS,3051,304,Career Search for Profl Envt,B,2,Carol Klempka,cklempka,ABUS 3051
1259,UMNTC,UMNTC,ABUS,3051,304,Career Search for Profl Envt,B+,2,Carol Klempka,cklempka,ABUS 3051
1259,UMNTC,UMNTC,ABUS,3051,304,Career Search for Profl Envt,C,2,Carol Klempka,cklempka,ABUS 3051
1259,UMNTC,UMNTC,ABUS,3051,304,Career Search for Profl Envt,C-,2,Carol Klempka,cklempka,ABUS 3051
1259,UMNTC,UMNTC,ABUS,3051,304,Career Search for Profl Envt,F,2,Carol Klempka,cklempka,ABUS 3051
1259,UMNTC,UMNTC,ABUS,3051,304,Career Search for Profl Envt,S,1,Carol Klempka,cklempka,ABUS 3051
1259,UMNTC,UMNTC,ABUS,3051,305,Career Search for Profl Envt,A,13,Caroline Marin,crmarin,ABUS 3051
1259,UMNTC,UMNTC,ABUS,3051,305,Career Search for Profl Envt,A-,4,Caroline Marin,crmarin,ABUS 3051
1259,UMNTC,UMNTC,ABUS,3051,305,Career Search for Profl Envt,B,2,Caroline Marin,crmarin,ABUS 3051
1259,UMNTC,UMNTC,ABUS,3051,305,Career Search for Profl Envt,B+,3,Caroline Marin,crmarin,ABUS 3051
1259,UMNTC,UMNTC,ABUS,3051,305,Career Search for Profl Envt,D,1,Caroline Marin,crmarin,ABUS 3051
1259,UMNTC,UMNTC,ABUS,3051,305,Career Search for Profl Envt,D+,1,Caroline Marin,crmarin,ABUS 3051
1259,UMNTC,UMNTC,ABUS,3051,305,Career Search for Profl Envt,F,5,Caroline Marin,crmarin,ABUS 3051
1259,UMNTC,UMNTC,ABUS,3051,305,Career Search for Profl Envt,S,1,Caroline Marin,crmarin,ABUS 3051
1259,UMNTC,UMNTC,ABUS,3051,306,Career Search for Profl Envt,A,20,Carol Klempka,cklempka,ABUS 3051
1259,UMNTC,UMNTC,ABUS,3051,306,Career Search for Profl Envt,B,2,Carol Klempka,cklempka,ABUS 3051
1259,UMNTC,UMNTC,ABUS,3051,306,Career Search for Profl Envt,B-,1,Carol Klempka,cklempka,ABUS 3051
1259,UMNTC,UMNTC,ABUS,3051,306,Career Search for Profl Envt,C,1,Carol Klempka,cklempka,ABUS 3051
1259,UMNTC,UMNTC,ABUS,3051,306,Career Search for Profl Envt,C-,1,Carol Klempka,cklempka,ABUS 3051
1259,UMNTC,UMNTC,ABUS,3051,306,Career Search for Profl Envt,D+,1,Carol Klempka,cklempka,ABUS 3051
1259,UMNTC,UMNTC,ABUS,3051,306,Career Search for Profl Envt,F,5,Carol Klempka,cklempka,ABUS 3051
1259,UMNTC,UMNTC,ABUS,3051,306,Career Search for Profl Envt,S,1,Carol Klempka,cklempka,ABUS 3051
1259,UMNTC,UMNTC,ABUS,3052,301,Careers in Remote Gig Economy,A,24,Uriah Giordana,ugiordan,ABUS 3052
1259,UMNTC,UMNTC,ABUS,3052,301,Careers in Remote Gig Economy,A-,1,Uriah Giordana,ugiordan,ABUS 3052
1259,UMNTC,UMNTC,ABUS,3052,301,Careers in Remote Gig Economy,B,2,Uriah Giordana,ugiordan,ABUS 3052
