TERM_DESCR,INSTITUTION,CAMPUS,SUBJECT,CATALOG_NBR,CLASS_SECTION,COMPONENT_MAIN,DESCR,CRSE_GRADE_OFF,CLASS_HDCNT,GRADE_HDCNT,INSTR_ROLE,HR_NAME,JOBCODE_DESCR,UM_JOBCODE_GROUP,INTERNET_ID
Sum 2024,UMNTC,UMNTC,ABUS,4023W,301,LEC,Communicating for Results,C-,30,1,PI,"Goodell,Bradley D",Teaching Specialist,AP,bgoodell
Sum 2024,UMNTC,UMNTC,ABUS,4023W,301,LEC,Communicating for Results,F,30,1,PI,"Goodell,Bradley D",Teaching Specialist,AP,bgoodell
Sum 2024,UMNTC,UMNTC,ABUS,4023W,301,LEC,Communicating for Results,W,30,1,PI,"Goodell,Bradley D",Teaching Specialist,AP,bgoodell
Sum 2024,UMNTC,UMNTC,ABUS,4101,301,LEC,Accounting&Finance for Mgrs,A,21,10,PI,"O'Fallon,Stacy Ann Marr",Teaching Specialist,AP,sofallon
Sum 2024,UMNTC,UMNTC,ABUS,4101,301,LEC,Accounting&Finance for Mgrs,A-,21,2,PI,"O'Fallon,Stacy Ann Marr",Teaching Specialist,AP,sofallon
Sum 2024,UMNTC,UMNTC,ABUS,4101,301,LEC,Accounting&Finance for Mgrs,B,21,1,PI,"O'Fallon,Stacy Ann Marr",Teaching Specialist,AP,sofallon
Sum 2024,UMNTC,UMNTC,ABUS,4101,301,LEC,Accounting&Finance for Mgrs,B+,21,1,PI,"O'Fallon,Stacy Ann Marr",Teaching Specialist,AP,sofallon
Sum 2024,UMNTC,UMNTC,ABUS,4101,301,LEC,Accounting&Finance for Mgrs,C,21,1,PI,"O'Fallon,Stacy Ann Marr",Teaching Specialist,AP,sofallon
Sum 2024,UMNTC,UMNTC,ABUS,4101,301,LEC,Accounting&Finance for Mgrs,C+,21,2,PI,"O'Fallon,Stacy Ann Marr",Teaching Specialist,AP,sofallon
Sum 2024,UMNTC,UMNTC,ABUS,4101,301,LEC,Accounting&Finance for Mgrs,C-,21,1,PI,"O'Fallon,Stacy Ann Marr",Teaching Specialist,AP,sofallon
Sum 2024,UMNTC,UMNTC,ABUS,4101,301,LEC,Accounting&Finance for Mgrs,F,21,3,PI,"O'Fallon,Stacy Ann Marr",Teaching Specialist,AP,sofallon
Sum 2024,UMNTC,UMNTC,ABUS,4105,301,LEC,Authentic Business Leadership,A,13,7,PI,"Klempka,Carol",Teaching Specialist,AP,cklempka
Sum 2024,UMNTC,UMNTC,ABUS,4105,301,LEC,Authentic Business Leadership,A-,13,1,PI,"Klempka,Carol",Teaching Specialist,AP,cklempka
Sum 2024,UMNTC,UMNTC,ABUS,4105,301,LEC,Authentic Business Leadership,B+,13,3,PI,"Klempka,Carol",Teaching Specialist,AP,cklempka
Sum 2024,UMNTC,UMNTC,ABUS,4105,301,LEC,Authentic Business Leadership,B-,13,1,PI,"Klempka,Carol",Teaching Specialist,AP,cklempka
Sum 2024,UMNTC,UMNTC,ABUS,4105,301,LEC,Authentic Business Leadership,D,13,1,PI,"Klempka,Carol",Teaching Specialist,AP,cklempka
Sum 2024,UMNTC,UMNTC,ABUS,4545,301,LEC,Defying Workplace Racial Bias,A,25,7,PI,"Hampton,Phillip",Teaching Specialist,AP,hamptonp
Sum 2024,UMNTC,UMNTC,ABUS,4545,301,LEC,Defying Workplace Racial Bias,A-,25,4,PI,"Hampton,Phillip",Teaching Specialist,AP,hamptonp
Sum 2024,UMNTC,UMNTC,ABUS,4545,301,LEC,Defying Workplace Racial Bias,B,25,1,PI,"Hampton,Phillip",Teaching Specialist,AP,hamptonp
Sum 2024,UMNTC,UMNTC,ABUS,4545,301,LEC,Defying Workplace Racial Bias,B+,25,5,PI,"Hampton,Phillip",Teaching Specialist,AP,hamptonp
Sum 2024,UMNTC,UMNTC,ABUS,4545,301,LEC,Defying Workplace Racial Bias,B-,25,3,PI,"Hampton,Phillip",Teaching Specialist,AP,hamptonp
Sum 2024,UMNTC,UMNTC,ABUS,4545,301,LEC,Defying Workplace Racial Bias,C,25,1,PI,"Hampton,Phillip",Teaching Specialist,AP,hamptonp
Sum 2024,UMNTC,UMNTC,ABUS,4545,301,LEC,Defying Workplace Racial Bias,C-,25,1,PI,"Hampton,Phillip",Teaching Specialist,AP,hamptonp
Sum 2024,UMNTC,UMNTC,ABUS,4545,301,LEC,Defying Workplace Racial Bias,D,25,1,PI,"Hampton,Phillip",Teaching Specialist,AP,hamptonp
Sum 2024,UMNTC,UMNTC,ABUS,4545,301,LEC,Defying Workplace Racial Bias,F,25,2,PI,"Hampton,Phillip",Teaching Specialist,AP,hamptonp
Sum 2024,UMNDL,UMNDL,ACCT,2001,001,LEC,Principles of Financial Acctg,A,24,7,PI,"Brannan PhD,Rodger L",Associate Professor,FA,rbrannan
Sum 2024,UMNDL,UMNDL,ACCT,2001,001,LEC,Principles of Financial Acctg,A-,24,1,PI,"Brannan PhD,Rodger L",Associate Professor,FA,rbrannan
Sum 2024,UMNDL,UMNDL,ACCT,2001,001,LEC,Principles of Financial Acctg,B,24,4,PI,"Brannan PhD,Rodger L",Associate Professor,FA,rbrannan
Sum 2024,UMNDL,UMNDL,ACCT,2001,001,LEC,Principles of Financial Acctg,B+,24,2,PI,"Brannan PhD,Rodger L",Associate Professor,FA,rbrannan
Sum 2024,UMNDL,UMNDL,ACCT,2001,001,LEC,Principles of Financial Acctg,B-,24,2,PI,"Brannan PhD,Rodger L",Associate Professor,FA,rbrannan
Sum 2024,UMNDL,UMNDL,ACCT,2001,001,LEC,Principles of Financial Acctg,C,24,3,PI,"Brannan PhD,Rodger L",Associate Professor,FA,rbrannan
Sum 2024,UMNDL,UMNDL,ACCT,2001,001,LEC,Principles of Financial Acctg,C+,24,1,PI,"Brannan PhD,Rodger L",Associate Professor,FA,rbrannan
Sum 2024,UMNDL,UMNDL,ACCT,2001,001,LEC,Principles of Financial Acctg,F,24,2,PI,"Brannan PhD,Rodger L",Associate Professor,FA,rbrannan
Sum 2024,UMNDL,UMNDL,ACCT,2001,001,LEC,Principles of Financial Acctg,W,24,2,PI,"Brannan PhD,Rodger L",Associate Professor,FA,rbrannan
Sum 2024,UMNDL,UMNDL,ACCT,2002,001,LEC,Prin of Mang Acctg,A,35,8,PI,"Cheng,Yang",Assistant Professor,FA,cheng917
Sum 2024,UMNDL,UMNDL,ACCT,2002,001,LEC,Prin of Mang Acctg,A-,35,1,PI,"Cheng,Yang",Assistant Professor,FA,cheng917
Sum 2024,UMNDL,UMNDL,ACCT,2002,001,LEC,Prin of Mang Acctg,B,35,2,PI,"Cheng,Yang",Assistant Professor,FA,cheng917
Sum 2024,UMNDL,UMNDL,ACCT,2002,001,LEC,Prin of Mang Acctg,B+,35,6,PI,"Cheng,Yang",Assistant Professor,FA,cheng917
Sum 2024,UMNDL,UMNDL,ACCT,2002,001,LEC,Prin of Mang Acctg,B-,35,5,PI,"Cheng,Yang",Assistant Professor,FA,cheng917
Sum 2024,UMNDL,UMNDL,ACCT,2002,001,LEC,Prin of Mang Acctg,C,35,3,PI,"Cheng,Yang",Assistant Professor,FA,cheng917
Sum 2024,UMNDL,UMNDL,ACCT,2002,001,LEC,Prin of Mang Acctg,C+,35,4,PI,"Cheng,Yang",Assistant Professor,FA,cheng917
Sum 2024,UMNDL,UMNDL,ACCT,2002,001,LEC,Prin of Mang Acctg,C-,35,1,PI,"Cheng,Yang",Assistant Professor,FA,cheng917
Sum 2024,UMNDL,UMNDL,ACCT,2002,001,LEC,Prin of Mang Acctg,D+,35,3,PI,"Cheng,Yang",Assistant Professor,FA,cheng917
Sum 2024,UMNDL,UMNDL,ACCT,2002,001,LEC,Prin of Mang Acctg,F,35,2,PI,"Cheng,Yang",Assistant Professor,FA,cheng917
Sum 2024,UMNTC,UMNTC,ACCT,2051,001,LEC,Intr Financial Rptg,A,71,15,PI,"Naples,Tammy",Senior Lecturer,AP,naples
Sum 2024,UMNTC,UMNTC,ACCT,2051,001,LEC,Intr Financial Rptg,A-,71,10,PI,"Naples,Tammy",Senior Lecturer,AP,naples
Sum 2024,UMNTC,UMNTC,ACCT,2051,001,LEC,Intr Financial Rptg,B,71,5,PI,"Naples,Tammy",Senior Lecturer,AP,naples
Sum 2024,UMNTC,UMNTC,ACCT,2051,001,LEC,Intr Financial Rptg,B+,71,6,PI,"Naples,Tammy",Senior Lecturer,AP,naples
Sum 2024,UMNTC,UMNTC,ACCT,2051,001,LEC,Intr Financial Rptg,B-,71,3,PI,"Naples,Tammy",Senior Lecturer,AP,naples
