TERM,TERM_DESCR,CAMPUS,SUBJECT,CATALOG_NBR,CLASS_SECTION,COMPONENT_MAIN,DESCR,CRSE_GRADE_OFF,GRADE_HDCNT,HR_NAME,INTERNET_ID,FULL_NAME
1233,Spr 2023,UMNTC,ABUS,3051,303,LEC,Career Search for Profl Envt,B+,4,Carol Klempka,cklempka,ABUS 3051
1233,Spr 2023,UMNTC,ABUS,3051,303,LEC,Career Search for Profl Envt,B-,1,Carol Klempka,cklempka,ABUS 3051
1233,Spr 2023,UMNTC,ABUS,3051,303,LEC,Career Search for Profl Envt,C,2,Carol Klempka,cklempka,ABUS 3051
1233,Spr 2023,UMNTC,ABUS,3051,303,LEC,Career Search for Profl Envt,C-,1,Carol Klempka,cklempka,ABUS 3051
1233,Spr 2023,UMNTC,ABUS,3051,303,LEC,Career Search for Profl Envt,D+,1,Carol Klempka,cklempka,ABUS 3051
1233,Spr 2023,UMNTC,ABUS,3051,303,LEC,Career Search for Profl Envt,S,1,Carol Klempka,cklempka,ABUS 3051
1233,Spr 2023,UMNTC,ABUS,3051,303,LEC,Career Search for Profl Envt,W,1,Carol Klempka,cklempka,ABUS 3051
1233,Spr 2023,UMNTC,ABUS,3051,304,LEC,Career Search for Profl Envt,A,25,Alyssa Maples,mapl0009,ABUS 3051
1233,Spr 2023,UMNTC,ABUS,3051,304,LEC,Career Search for Profl Envt,B,1,Alyssa Maples,mapl0009,ABUS 3051
1233,Spr 2023,UMNTC,ABUS,3051,304,LEC,Career Search for Profl Envt,B+,1,Alyssa Maples,mapl0009,ABUS 3051
1233,Spr 2023,UMNTC,ABUS,3051,304,LEC,Career Search for Profl Envt,C,1,Alyssa Maples,mapl0009,ABUS 3051
1233,Spr 2023,UMNTC,ABUS,3051,304,LEC,Career Search for Profl Envt,C-,1,Alyssa Maples,mapl0009,ABUS 3051
1233,Spr 2023,UMNTC,ABUS,3051,304,LEC,Career Search for Profl Envt,F,1,Alyssa Maples,mapl0009,ABUS 3051
1233,Spr 2023,UMNTC,ABUS,3051,304,LEC,Career Search for Profl Envt,S,5,Alyssa Maples,mapl0009,ABUS 3051
1233,Spr 2023,UMNTC,ABUS,3051,305,LEC,Career Search for Profl Envt,A,16,Carol Klempka,cklempka,ABUS 3051
1233,Spr 2023,UMNTC,ABUS,3051,305,LEC,Career Search for Profl Envt,A-,2,Carol Klempka,cklempka,ABUS 3051
1233,Spr 2023,UMNTC,ABUS,3051,305,LEC,Career Search for Profl Envt,B,1,Carol Klempka,cklempka,ABUS 3051
1233,Spr 2023,UMNTC,ABUS,3051,305,LEC,Career Search for Profl Envt,B+,3,Carol Klempka,cklempka,ABUS 3051
1233,Spr 2023,UMNTC,ABUS,3051,305,LEC,Career Search for Profl Envt,B-,3,Carol Klempka,cklempka,ABUS 3051
1233,Spr 2023,UMNTC,ABUS,3051,305,LEC,Career Search for Profl Envt,C,2,Carol Klempka,cklempka,ABUS 3051
1233,Spr 2023,UMNTC,ABUS,3051,305,LEC,Career Search for Profl Envt,C+,3,Carol Klempka,cklempka,ABUS 3051
1233,Spr 2023,UMNTC,ABUS,3051,305,LEC,Career Search for Profl Envt,C-,1,Carol Klempka,cklempka,ABUS 3051
1233,Spr 2023,UMNTC,ABUS,3051,305,LEC,Career Search for Profl Envt,F,2,Carol Klempka,cklempka,ABUS 3051
1233,Spr 2023,UMNTC,ABUS,3051,305,LEC,Career Search for Profl Envt,S,4,Carol Klempka,cklempka,ABUS 3051
1233,Spr 2023,UMNTC,ABUS,3051,305,LEC,Career Search for Profl Envt,W,1,Carol Klempka,cklempka,ABUS 3051
1233,Spr 2023,UMNTC,ABUS,3051,306,LEC,Career Search for Profl Envt,A,24,Caroline Marin,crmarin,ABUS 3051
1233,Spr 2023,UMNTC,ABUS,3051,306,LEC,Career Search for Profl Envt,A-,3,Caroline Marin,crmarin,ABUS 3051
1233,Spr 2023,UMNTC,ABUS,3051,306,LEC,Career Search for Profl Envt,B,2,Caroline Marin,crmarin,ABUS 3051
1233,Spr 2023,UMNTC,ABUS,3051,306,LEC,Career Search for Profl Envt,B+,1,Caroline Marin,crmarin,ABUS 3051
1233,Spr 2023,UMNTC,ABUS,3051,306,LEC,Career Search for Profl Envt,B-,2,Caroline Marin,crmarin,ABUS 3051
1233,Spr 2023,UMNTC,ABUS,3051,306,LEC,Career Search for Profl Envt,C,1,Caroline Marin,crmarin,ABUS 3051
1233,Spr 2023,UMNTC,ABUS,3051,306,LEC,Career Search for Profl Envt,D+,2,Caroline Marin,crmarin,ABUS 3051
1233,Spr 2023,UMNTC,ABUS,3051,306,LEC,Career Search for Profl Envt,F,3,Caroline Marin,crmarin,ABUS 3051
1233,Spr 2023,UMNTC,ABUS,3051,306,LEC,Career Search for Profl Envt,S,1,Caroline Marin,crmarin,ABUS 3051
1233,Spr 2023,UMNTC,ABUS,3052,301,LEC,Careers in Remote Gig Economy,A,24,Uriah Giordana,ugiordan,ABUS 3052
1233,Spr 2023,UMNTC,ABUS,3052,301,LEC,Careers in Remote Gig Economy,A-,3,Uriah Giordana,ugiordan,ABUS 3052
1233,Spr 2023,UMNTC,ABUS,3052,301,LEC,Careers in Remote Gig Economy,B,2,Uriah Giordana,ugiordan,ABUS 3052
1233,Spr 2023,UMNTC,ABUS,3052,301,LEC,Careers in Remote Gig Economy,C+,1,Uriah Giordana,ugiordan,ABUS 3052
1233,Spr 2023,UMNTC,ABUS,3052,301,LEC,Careers in Remote Gig Economy,C-,1,Uriah Giordana,ugiordan,ABUS 3052
1233,Spr 2023,UMNTC,ABUS,3052,301,LEC,Careers in Remote Gig Economy,F,1,Uriah Giordana,ugiordan,ABUS 3052
1233,Spr 2023,UMNTC,ABUS,3052,301,LEC,Careers in Remote Gig Economy,W,1,Uriah Giordana,ugiordan,ABUS 3052
1233,Spr 2023,UMNTC,ABUS,3052,302,LEC,Careers in Remote Gig Economy,A,18,Uriah Giordana,ugiordan,ABUS 3052
1233,Spr 2023,UMNTC,ABUS,3052,302,LEC,Careers in Remote Gig Economy,A-,4,Uriah Giordana,ugiordan,ABUS 3052
1233,Spr 2023,UMNTC,ABUS,3052,302,LEC,Careers in Remote Gig Economy,B,3,Uriah Giordana,ugiordan,ABUS 3052
1233,Spr 2023,UMNTC,ABUS,3052,302,LEC,Careers in Remote Gig Economy,B+,3,Uriah Giordana,ugiordan,ABUS 3052
1233,Spr 2023,UMNTC,ABUS,3052,302,LEC,Careers in Remote Gig Economy,C,1,Uriah Giordana,ugiordan,ABUS 3052
1233,Spr 2023,UMNTC,ABUS,3052,302,LEC,Careers in Remote Gig Economy,F,2,Uriah Giordana,ugiordan,ABUS 3052
1233,Spr 2023,UMNTC,ABUS,3201,301,LEC,Digital Design-Small Business,A,12,David Husom,husom001,ABUS 3201
1233,Spr 2023,UMNTC,ABUS,3201,301,LEC,Digital Design-Small Business,A-,4,David Husom,husom001,ABUS 3201
1233,Spr 2023,UMNTC,ABUS,3201,301,LEC,Digital Design-Small Business,B,4,David Husom,husom001,ABUS 3201
1233,Spr 2023,UMNTC,ABUS,3201,301,LEC,Digital Design-Small Business,B+,1,David Husom,husom001,ABUS 3201
1233,Spr 2023,UMNTC,ABUS,3201,301,LEC,Digital Design-Small Business,C,2,David Husom,husom001,ABUS 3201
1233,Spr 2023,UMNTC,ABUS,3201,301,LEC,Digital Design-Small Business,C+,3,David Husom,husom001,ABUS 3201
1233,Spr 2023,UMNTC,ABUS,3201,301,LEC,Digital Design-Small Business,C-,1,David Husom,husom001,ABUS 3201
1233,Spr 2023,UMNTC,ABUS,3201,301,LEC,Digital Design-Small Business,F,2,David Husom,husom001,ABUS 3201
1233,Spr 2023,UMNTC,ABUS,3201,301,LEC,Digital Design-Small Business,W,2,David Husom,husom001,ABUS 3201
1233,Spr 2023,UMNTC,ABUS,3201,302,LEC,Digital Design-Small Business,A,14,Jeff Neidt,neidt004,ABUS 3201
1233,Spr 2023,UMNTC,ABUS,3201,302,LEC,Digital Design-Small Business,A-,3,Jeff Neidt,neidt004,ABUS 3201
1233,Spr 2023,UMNTC,ABUS,3201,302,LEC,Digital Design-Small Business,B,3,Jeff Neidt,neidt004,ABUS 3201
1233,Spr 2023,UMNTC,ABUS,3201,302,LEC,Digital Design-Small Business,B+,2,Jeff Neidt,neidt004,ABUS 3201
1233,Spr 2023,UMNTC,ABUS,3201,302,LEC,Digital Design-Small Business,B-,3,Jeff Neidt,neidt004,ABUS 3201
1233,Spr 2023,UMNTC,ABUS,3201,302,LEC,Digital Design-Small Business,C,1,Jeff Neidt,neidt004,ABUS 3201
1233,Spr 2023,UMNTC,ABUS,3201,302,LEC,Digital Design-Small Business,F,1,Jeff Neidt,neidt004,ABUS 3201
1233,Spr 2023,UMNTC,ABUS,3201,302,LEC,Digital Design-Small Business,W,3,Jeff Neidt,neidt004,ABUS 3201
1233,Spr 2023,UMNTC,ABUS,3301,301,LEC,Intro to Quality Management,A,21,Karen Schaffhausen,lutt0002,ABUS 3301
1233,Spr 2023,UMNTC,ABUS,3301,301,LEC,Intro to Quality Management,A-,5,Karen Schaffhausen,lutt0002,ABUS 3301
1233,Spr 2023,UMNTC,ABUS,3301,301,LEC,Intro to Quality Management,B,1,Karen Schaffhausen,lutt0002,ABUS 3301
1233,Spr 2023,UMNTC,ABUS,3301,301,LEC,Intro to Quality Management,B+,2,Karen Schaffhausen,lutt0002,ABUS 3301
1233,Spr 2023,UMNTC,ABUS,3301,301,LEC,Intro to Quality Management,B-,1,Karen Schaffhausen,lutt0002,ABUS 3301
1233,Spr 2023,UMNTC,ABUS,3301,301,LEC,Intro to Quality Management,F,1,Karen Schaffhausen,lutt0002,ABUS 3301
1233,Spr 2023,UMNTC,ABUS,3301,301,LEC,Intro to Quality Management,W,3,Karen Schaffhausen,lutt0002,ABUS 3301
1233,Spr 2023,UMNTC,ABUS,3301,302,LEC,Intro to Quality Management,A,7,Karen Schaffhausen,lutt0002,ABUS 3301
1233,Spr 2023,UMNTC,ABUS,3301,302,LEC,Intro to Quality Management,A-,11,Karen Schaffhausen,lutt0002,ABUS 3301
1233,Spr 2023,UMNTC,ABUS,3301,302,LEC,Intro to Quality Management,B,4,Karen Schaffhausen,lutt0002,ABUS 3301
1233,Spr 2023,UMNTC,ABUS,3301,302,LEC,Intro to Quality Management,B+,4,Karen Schaffhausen,lutt0002,ABUS 3301
1233,Spr 2023,UMNTC,ABUS,3301,302,LEC,Intro to Quality Management,C,1,Karen Schaffhausen,lutt0002,ABUS 3301
1233,Spr 2023,UMNTC,ABUS,3301,302,LEC,Intro to Quality Management,C+,2,Karen Schaffhausen,lutt0002,ABUS 3301
1233,Spr 2023,UMNTC,ABUS,3301,302,LEC,Intro to Quality Management,W,3,Karen Schaffhausen,lutt0002,ABUS 3301
1233,Spr 2023,UMNTC,ABUS,3950,301,LEC,Special Topics,A,8,Carol Rinkoff,crinkoff,ABUS 3950
1233,Spr 2023,UMNTC,ABUS,3950,301,LEC,Special Topics,B-,1,Carol Rinkoff,crinkoff,ABUS 3950
1233,Spr 2023,UMNTC,ABUS,3950,301,LEC,Special Topics,D+,1,Carol Rinkoff,crinkoff,ABUS 3950
1233,Spr 2023,UMNTC,ABUS,3950,301,LEC,Special Topics,F,1,Carol Rinkoff,crinkoff,ABUS 3950
1233,Spr 2023,UMNTC,ABUS,3950,302,LEC,Special Topics,A,22,Carol Rinkoff,crinkoff,ABUS 3950
1233,Spr 2023,UMNTC,ABUS,3950,302,LEC,Special Topics,A-,2,Carol Rinkoff,crinkoff,ABUS 3950
1233,Spr 2023,UMNTC,ABUS,3950,302,LEC,Special Topics,B+,2,Carol Rinkoff,crinkoff,ABUS 3950
1233,Spr 2023,UMNTC,ABUS,3950,302,LEC,Special Topics,C,2,Carol Rinkoff,crinkoff,ABUS 3950
1233,Spr 2023,UMNTC,ABUS,3950,302,LEC,Special Topics,C-,1,Carol Rinkoff,crinkoff,ABUS 3950
1233,Spr 2023,UMNTC,ABUS,3950,302,LEC,Special Topics,F,3,Carol Rinkoff,crinkoff,ABUS 3950
1233,Spr 2023,UMNTC,ABUS,3950,302,LEC,Special Topics,W,3,Carol Rinkoff,crinkoff,ABUS 3950
1233,Spr 2023,UMNTC,ABUS,4013W,301,LEC,"Law, Ethics, &  Risk for Mgrs",A,20,Charles Bethel,bethe036,ABUS 4013W
1233,Spr 2023,UMNTC,ABUS,4013W,301,LEC,"Law, Ethics, &  Risk for Mgrs",A-,1,Charles Bethel,bethe036,ABUS 4013W
1233,Spr 2023,UMNTC,ABUS,4013W,301,LEC,"Law, Ethics, &  Risk for Mgrs",B+,1,Charles Bethel,bethe036,ABUS 4013W
1233,Spr 2023,UMNTC,ABUS,4013W,301,LEC,"Law, Ethics, &  Risk for Mgrs",W,1,Charles Bethel,bethe036,ABUS 4013W
1233,Spr 2023,UMNTC,ABUS,4022W,301,LEC,Management in Organizations,A,16,Bradley Goodell,bgoodell,ABUS 4022W
1233,Spr 2023,UMNTC,ABUS,4022W,301,LEC,Management in Organizations,A-,5,Bradley Goodell,bgoodell,ABUS 4022W
1233,Spr 2023,UMNTC,ABUS,4022W,301,LEC,Management in Organizations,B,5,Bradley Goodell,bgoodell,ABUS 4022W
