TERM,TERM_DESCR,INSTITUTION,CAMPUS,SUBJECT,CATALOG_NBR,CLASS_SECTION,DESCR,CRSE_GRADE_OFF,CLASS_HDCNT,GRADE_HDCNT,INSTR_ROLE,NAME,JOBCODE_DESCR,INTERNET_ID
1255,Sum 2025,UMNTC,UMNTC,ABUS,4023W,301,Communic for Strategic Results,B-,29,1,PI,"Goodell,Bradley D",Teaching Specialist,bgoodell
1255,Sum 2025,UMNTC,UMNTC,ABUS,4023W,301,Communic for Strategic Results,C,29,1,PI,"Goodell,Bradley D",Teaching Specialist,bgoodell
1255,Sum 2025,UMNTC,UMNTC,ABUS,4023W,301,Communic for Strategic Results,C+,29,4,PI,"Goodell,Bradley D",Teaching Specialist,bgoodell
1255,Sum 2025,UMNTC,UMNTC,ABUS,4023W,301,Communic for Strategic Results,F,29,3,PI,"Goodell,Bradley D",Teaching Specialist,bgoodell
1255,Sum 2025,UMNTC,UMNTC,ABUS,4023W,301,Communic for Strategic Results,W,29,1,PI,"Goodell,Bradley D",Teaching Specialist,bgoodell
1255,Sum 2025,UMNTC,UMNTC,ABUS,4023W,302,Communic for Strategic Results,A,24,9,PI,"Johnson,Isaac",HR Pro 3 Supv-Generalist,isaacj
1255,Sum 2025,UMNTC,UMNTC,ABUS,4023W,302,Communic for Strategic Results,A-,24,4,PI,"Johnson,Isaac",HR Pro 3 Supv-Generalist,isaacj
1255,Sum 2025,UMNTC,UMNTC,ABUS,4023W,302,Communic for Strategic Results,B,24,1,PI,"Johnson,Isaac",HR Pro 3 Supv-Generalist,isaacj
1255,Sum 2025,UMNTC,UMNTC,ABUS,4023W,302,Communic for Strategic Results,B+,24,3,PI,"Johnson,Isaac",HR Pro 3 Supv-Generalist,isaacj
1255,Sum 2025,UMNTC,UMNTC,ABUS,4023W,302,Communic for Strategic Results,C,24,1,PI,"Johnson,Isaac",HR Pro 3 Supv-Generalist,isaacj
1255,Sum 2025,UMNTC,UMNTC,ABUS,4023W,302,Communic for Strategic Results,C+,24,1,PI,"Johnson,Isaac",HR Pro 3 Supv-Generalist,isaacj
1255,Sum 2025,UMNTC,UMNTC,ABUS,4023W,302,Communic for Strategic Results,C-,24,1,PI,"Johnson,Isaac",HR Pro 3 Supv-Generalist,isaacj
1255,Sum 2025,UMNTC,UMNTC,ABUS,4023W,302,Communic for Strategic Results,D,24,1,PI,"Johnson,Isaac",HR Pro 3 Supv-Generalist,isaacj
1255,Sum 2025,UMNTC,UMNTC,ABUS,4023W,302,Communic for Strategic Results,F,24,3,PI,"Johnson,Isaac",HR Pro 3 Supv-Generalist,isaacj
1255,Sum 2025,UMNTC,UMNTC,ABUS,4026,301,Public Perception in Business,A,11,5,PI,"Brynteson,Richard David",Teaching Specialist,bryn0004
1255,Sum 2025,UMNTC,UMNTC,ABUS,4026,301,Public Perception in Business,A-,11,2,PI,"Brynteson,Richard David",Teaching Specialist,bryn0004
1255,Sum 2025,UMNTC,UMNTC,ABUS,4026,301,Public Perception in Business,B,11,2,PI,"Brynteson,Richard David",Teaching Specialist,bryn0004
1255,Sum 2025,UMNTC,UMNTC,ABUS,4026,301,Public Perception in Business,F,11,2,PI,"Brynteson,Richard David",Teaching Specialist,bryn0004
1255,Sum 2025,UMNTC,UMNTC,ABUS,4105,301,Authentic Business Leadership,A,15,8,PI,"Klempka,Carol",Teaching Specialist,cklempka
1255,Sum 2025,UMNTC,UMNTC,ABUS,4105,301,Authentic Business Leadership,B,15,2,PI,"Klempka,Carol",Teaching Specialist,cklempka
1255,Sum 2025,UMNTC,UMNTC,ABUS,4105,301,Authentic Business Leadership,B-,15,1,PI,"Klempka,Carol",Teaching Specialist,cklempka
1255,Sum 2025,UMNTC,UMNTC,ABUS,4105,301,Authentic Business Leadership,C,15,2,PI,"Klempka,Carol",Teaching Specialist,cklempka
1255,Sum 2025,UMNTC,UMNTC,ABUS,4105,301,Authentic Business Leadership,D,15,1,PI,"Klempka,Carol",Teaching Specialist,cklempka
1255,Sum 2025,UMNTC,UMNTC,ABUS,4105,301,Authentic Business Leadership,F,15,1,PI,"Klempka,Carol",Teaching Specialist,cklempka
1255,Sum 2025,UMNTC,UMNTC,ABUS,4545,301,Mitigating Workplace Bias,A,29,9,PI,"Hampton,Phillip",Teaching Specialist,hamptonp
1255,Sum 2025,UMNTC,UMNTC,ABUS,4545,301,Mitigating Workplace Bias,A-,29,2,PI,"Hampton,Phillip",Teaching Specialist,hamptonp
1255,Sum 2025,UMNTC,UMNTC,ABUS,4545,301,Mitigating Workplace Bias,B,29,1,PI,"Hampton,Phillip",Teaching Specialist,hamptonp
1255,Sum 2025,UMNTC,UMNTC,ABUS,4545,301,Mitigating Workplace Bias,B+,29,5,PI,"Hampton,Phillip",Teaching Specialist,hamptonp
1255,Sum 2025,UMNTC,UMNTC,ABUS,4545,301,Mitigating Workplace Bias,C,29,2,PI,"Hampton,Phillip",Teaching Specialist,hamptonp
1255,Sum 2025,UMNTC,UMNTC,ABUS,4545,301,Mitigating Workplace Bias,C+,29,1,PI,"Hampton,Phillip",Teaching Specialist,hamptonp
1255,Sum 2025,UMNTC,UMNTC,ABUS,4545,301,Mitigating Workplace Bias,C-,29,1,PI,"Hampton,Phillip",Teaching Specialist,hamptonp
1255,Sum 2025,UMNTC,UMNTC,ABUS,4545,301,Mitigating Workplace Bias,D,29,3,PI,"Hampton,Phillip",Teaching Specialist,hamptonp
1255,Sum 2025,UMNTC,UMNTC,ABUS,4545,301,Mitigating Workplace Bias,D+,29,2,PI,"Hampton,Phillip",Teaching Specialist,hamptonp
1255,Sum 2025,UMNTC,UMNTC,ABUS,4545,301,Mitigating Workplace Bias,F,29,2,PI,"Hampton,Phillip",Teaching Specialist,hamptonp
1255,Sum 2025,UMNTC,UMNTC,ABUS,4545,301,Mitigating Workplace Bias,W,29,1,PI,"Hampton,Phillip",Teaching Specialist,hamptonp
1255,Sum 2025,UMNDL,UMNDL,ACCT,2001,001,Principles of Financial Acctg,A,24,14,PI,"Brannan PhD,Rodger L",Associate Professor,rbrannan
1255,Sum 2025,UMNDL,UMNDL,ACCT,2001,001,Principles of Financial Acctg,A-,24,1,PI,"Brannan PhD,Rodger L",Associate Professor,rbrannan
1255,Sum 2025,UMNDL,UMNDL,ACCT,2001,001,Principles of Financial Acctg,B,24,1,PI,"Brannan PhD,Rodger L",Associate Professor,rbrannan
