TERM,CAMPUS,SUBJECT,CATALOG_NBR,CLASS_SECTION,DESCR,CRSE_GRADE_OFF,GRADE_HDCNT,HR_NAME,INTERNET_ID,FULL_NAME
1235,UMNTC,ACCT,3001,020,Strategic Mgmt Acct,D,1,Kendell Poch,beck0620,ACCT 3001
1235,UMNTC,ACCT,3001,020,Strategic Mgmt Acct,F,1,Kendell Poch,beck0620,ACCT 3001
1235,UMNTC,ACCT,5101,020,Intermediate Accounting I,A,7,Scott Johnson,joh20235,ACCT 5101
1235,UMNTC,ACCT,5101,020,Intermediate Accounting I,A-,2,Scott Johnson,joh20235,ACCT 5101
1235,UMNTC,ACCT,5101,020,Intermediate Accounting I,B,2,Scott Johnson,joh20235,ACCT 5101
1235,UMNTC,ACCT,5101,020,Intermediate Accounting I,B+,1,Scott Johnson,joh20235,ACCT 5101
1235,UMNTC,ACCT,5101,020,Intermediate Accounting I,B-,2,Scott Johnson,joh20235,ACCT 5101
1235,UMNTC,ACCT,5101,020,Intermediate Accounting I,C,3,Scott Johnson,joh20235,ACCT 5101
1235,UMNTC,ACCT,5101,020,Intermediate Accounting I,C+,2,Scott Johnson,joh20235,ACCT 5101
1235,UMNTC,ACCT,5101,020,Intermediate Accounting I,C-,1,Scott Johnson,joh20235,ACCT 5101
1235,UMNTC,ADDS,5031,001,Applied Psychopharmacology,A,13,Ian McLoone,imcloone,ADDS 5031
1235,UMNTC,ADDS,5031,001,Applied Psychopharmacology,B-,1,Ian McLoone,imcloone,ADDS 5031
1235,UMNTC,ADDS,5061,001,Foundations of Group Work,A,11,Fiyyaz Karim,kari0057,ADDS 5061
1235,UMNTC,ADDS,5061,001,Foundations of Group Work,B,1,Fiyyaz Karim,kari0057,ADDS 5061
1235,UMNTC,ADDS,5091,001,Assessment & Treatment Plan I,A,9,Roy Kammer,rkammer,ADDS 5091
1235,UMNTC,ADDS,5091,001,Assessment & Treatment Plan I,B,1,Roy Kammer,rkammer,ADDS 5091
1235,UMNTC,AFRO,3625W,001,Women Writers Afr/Afr Diaspora,A,10,Courtney Gildersleeve,giode001,AFRO 3625W
1235,UMNTC,AFRO,3625W,001,Women Writers Afr/Afr Diaspora,A-,2,Courtney Gildersleeve,giode001,AFRO 3625W
1235,UMNTC,AFRO,3625W,001,Women Writers Afr/Afr Diaspora,B+,3,Courtney Gildersleeve,giode001,AFRO 3625W
1235,UMNTC,AFRO,3625W,001,Women Writers Afr/Afr Diaspora,F,2,Courtney Gildersleeve,giode001,AFRO 3625W
1235,UMNTC,AFRO,3625W,001,Women Writers Afr/Afr Diaspora,W,1,Courtney Gildersleeve,giode001,AFRO 3625W
