CAMPUS,SUBJECT,CATALOG_NBR,CLASS_SECTION,DESCR,CRSE_GRADE_OFF,GRADE_HDCNT,HR_NAME,INTERNET_ID,TERM,FULL_NAME
UMNTC,ABUS,3051,303,Career Search for Profl Envt,C+,2,Caroline Marin,crmarin,1243,ABUS 3051
UMNTC,ABUS,3051,303,Career Search for Profl Envt,F,3,Caroline Marin,crmarin,1243,ABUS 3051
UMNTC,ABUS,3051,303,Career Search for Profl Envt,S,1,Caroline Marin,crmarin,1243,ABUS 3051
UMNTC,ABUS,3051,304,Career Search for Profl Envt,A,21,Carol Klempka,cklempka,1243,ABUS 3051
UMNTC,ABUS,3051,304,Career Search for Profl Envt,A-,5,Carol Klempka,cklempka,1243,ABUS 3051
UMNTC,ABUS,3051,304,Career Search for Profl Envt,B,1,Carol Klempka,cklempka,1243,ABUS 3051
UMNTC,ABUS,3051,304,Career Search for Profl Envt,B+,3,Carol Klempka,cklempka,1243,ABUS 3051
UMNTC,ABUS,3051,304,Career Search for Profl Envt,B-,1,Carol Klempka,cklempka,1243,ABUS 3051
UMNTC,ABUS,3051,304,Career Search for Profl Envt,C,1,Carol Klempka,cklempka,1243,ABUS 3051
UMNTC,ABUS,3051,304,Career Search for Profl Envt,C+,1,Carol Klempka,cklempka,1243,ABUS 3051
UMNTC,ABUS,3051,304,Career Search for Profl Envt,D,1,Carol Klempka,cklempka,1243,ABUS 3051
UMNTC,ABUS,3051,304,Career Search for Profl Envt,D+,2,Carol Klempka,cklempka,1243,ABUS 3051
UMNTC,ABUS,3051,304,Career Search for Profl Envt,F,1,Carol Klempka,cklempka,1243,ABUS 3051
UMNTC,ABUS,3051,304,Career Search for Profl Envt,S,1,Carol Klempka,cklempka,1243,ABUS 3051
UMNTC,ABUS,3051,304,Career Search for Profl Envt,W,1,Carol Klempka,cklempka,1243,ABUS 3051
UMNTC,ABUS,3051,305,Career Search for Profl Envt,A,14,Carol Klempka,cklempka,1243,ABUS 3051
UMNTC,ABUS,3051,305,Career Search for Profl Envt,A-,2,Carol Klempka,cklempka,1243,ABUS 3051
UMNTC,ABUS,3051,305,Career Search for Profl Envt,B,7,Carol Klempka,cklempka,1243,ABUS 3051
UMNTC,ABUS,3051,305,Career Search for Profl Envt,B+,5,Carol Klempka,cklempka,1243,ABUS 3051
UMNTC,ABUS,3051,305,Career Search for Profl Envt,B-,1,Carol Klempka,cklempka,1243,ABUS 3051
UMNTC,ABUS,3051,305,Career Search for Profl Envt,C+,2,Carol Klempka,cklempka,1243,ABUS 3051
UMNTC,ABUS,3051,305,Career Search for Profl Envt,C-,2,Carol Klempka,cklempka,1243,ABUS 3051
UMNTC,ABUS,3051,305,Career Search for Profl Envt,F,4,Carol Klempka,cklempka,1243,ABUS 3051
UMNTC,ABUS,3051,305,Career Search for Profl Envt,N,1,Carol Klempka,cklempka,1243,ABUS 3051
UMNTC,ABUS,3051,305,Career Search for Profl Envt,S,1,Carol Klempka,cklempka,1243,ABUS 3051
UMNTC,ABUS,3051,306,Career Search for Profl Envt,A,17,Caroline Marin,crmarin,1243,ABUS 3051
UMNTC,ABUS,3051,306,Career Search for Profl Envt,A-,3,Caroline Marin,crmarin,1243,ABUS 3051
UMNTC,ABUS,3051,306,Career Search for Profl Envt,B,5,Caroline Marin,crmarin,1243,ABUS 3051
UMNTC,ABUS,3051,306,Career Search for Profl Envt,B+,5,Caroline Marin,crmarin,1243,ABUS 3051
UMNTC,ABUS,3051,306,Career Search for Profl Envt,B-,1,Caroline Marin,crmarin,1243,ABUS 3051
UMNTC,ABUS,3051,306,Career Search for Profl Envt,C-,2,Caroline Marin,crmarin,1243,ABUS 3051
UMNTC,ABUS,3051,306,Career Search for Profl Envt,D,1,Caroline Marin,crmarin,1243,ABUS 3051
UMNTC,ABUS,3051,306,Career Search for Profl Envt,S,1,Caroline Marin,crmarin,1243,ABUS 3051
UMNTC,ABUS,3051,306,Career Search for Profl Envt,W,4,Caroline Marin,crmarin,1243,ABUS 3051
UMNTC,ABUS,3052,301,Careers in Remote Gig Economy,A,22,Uriah Giordana,ugiordan,1243,ABUS 3052
UMNTC,ABUS,3052,301,Careers in Remote Gig Economy,A-,1,Uriah Giordana,ugiordan,1243,ABUS 3052
UMNTC,ABUS,3052,301,Careers in Remote Gig Economy,B+,1,Uriah Giordana,ugiordan,1243,ABUS 3052
UMNTC,ABUS,3052,301,Careers in Remote Gig Economy,C,1,Uriah Giordana,ugiordan,1243,ABUS 3052
UMNTC,ABUS,3052,302,Careers in Remote Gig Economy,A,22,Uriah Giordana,ugiordan,1243,ABUS 3052
UMNTC,ABUS,3052,302,Careers in Remote Gig Economy,A-,2,Uriah Giordana,ugiordan,1243,ABUS 3052
UMNTC,ABUS,3052,302,Careers in Remote Gig Economy,B,2,Uriah Giordana,ugiordan,1243,ABUS 3052
UMNTC,ABUS,3052,302,Careers in Remote Gig Economy,B-,1,Uriah Giordana,ugiordan,1243,ABUS 3052
UMNTC,ABUS,3052,302,Careers in Remote Gig Economy,C,2,Uriah Giordana,ugiordan,1243,ABUS 3052
UMNTC,ABUS,3052,302,Careers in Remote Gig Economy,C+,1,Uriah Giordana,ugiordan,1243,ABUS 3052
UMNTC,ABUS,3052,302,Careers in Remote Gig Economy,F,3,Uriah Giordana,ugiordan,1243,ABUS 3052
UMNTC,ABUS,3201,301,Digital Design-Small Business,A,16,David Husom,husom001,1243,ABUS 3201
UMNTC,ABUS,3201,301,Digital Design-Small Business,A-,6,David Husom,husom001,1243,ABUS 3201
UMNTC,ABUS,3201,301,Digital Design-Small Business,B,1,David Husom,husom001,1243,ABUS 3201
UMNTC,ABUS,3201,301,Digital Design-Small Business,B+,2,David Husom,husom001,1243,ABUS 3201
UMNTC,ABUS,3201,301,Digital Design-Small Business,B-,1,David Husom,husom001,1243,ABUS 3201
UMNTC,ABUS,3201,301,Digital Design-Small Business,C,1,David Husom,husom001,1243,ABUS 3201
UMNTC,ABUS,3201,301,Digital Design-Small Business,F,6,David Husom,husom001,1243,ABUS 3201
UMNTC,ABUS,3201,301,Digital Design-Small Business,W,2,David Husom,husom001,1243,ABUS 3201
UMNTC,ABUS,3201,302,Digital Design-Small Business,A,15,Jeff Neidt,neidt004,1243,ABUS 3201
UMNTC,ABUS,3201,302,Digital Design-Small Business,A-,5,Jeff Neidt,neidt004,1243,ABUS 3201
UMNTC,ABUS,3201,302,Digital Design-Small Business,B,1,Jeff Neidt,neidt004,1243,ABUS 3201
UMNTC,ABUS,3201,302,Digital Design-Small Business,B+,6,Jeff Neidt,neidt004,1243,ABUS 3201
UMNTC,ABUS,3201,302,Digital Design-Small Business,B-,2,Jeff Neidt,neidt004,1243,ABUS 3201
UMNTC,ABUS,3201,302,Digital Design-Small Business,C,1,Jeff Neidt,neidt004,1243,ABUS 3201
UMNTC,ABUS,3201,302,Digital Design-Small Business,F,2,Jeff Neidt,neidt004,1243,ABUS 3201
UMNTC,ABUS,3201,302,Digital Design-Small Business,W,2,Jeff Neidt,neidt004,1243,ABUS 3201
UMNTC,ABUS,3301,301,Intro to Quality Management,A,15,Karen Schaffhausen,lutt0002,1243,ABUS 3301
UMNTC,ABUS,3301,301,Intro to Quality Management,A-,4,Karen Schaffhausen,lutt0002,1243,ABUS 3301
UMNTC,ABUS,3301,301,Intro to Quality Management,B,2,Karen Schaffhausen,lutt0002,1243,ABUS 3301
UMNTC,ABUS,3301,301,Intro to Quality Management,B+,1,Karen Schaffhausen,lutt0002,1243,ABUS 3301
UMNTC,ABUS,3301,301,Intro to Quality Management,B-,5,Karen Schaffhausen,lutt0002,1243,ABUS 3301
UMNTC,ABUS,3301,301,Intro to Quality Management,F,2,Karen Schaffhausen,lutt0002,1243,ABUS 3301
UMNTC,ABUS,3301,301,Intro to Quality Management,W,3,Karen Schaffhausen,lutt0002,1243,ABUS 3301
UMNTC,ABUS,3301,302,Intro to Quality Management,A,15,Karen Schaffhausen,lutt0002,1243,ABUS 3301
UMNTC,ABUS,3301,302,Intro to Quality Management,B,1,Karen Schaffhausen,lutt0002,1243,ABUS 3301
UMNTC,ABUS,3301,302,Intro to Quality Management,B+,2,Karen Schaffhausen,lutt0002,1243,ABUS 3301
UMNTC,ABUS,3301,302,Intro to Quality Management,B-,1,Karen Schaffhausen,lutt0002,1243,ABUS 3301
UMNTC,ABUS,3301,302,Intro to Quality Management,C,3,Karen Schaffhausen,lutt0002,1243,ABUS 3301
UMNTC,ABUS,3301,302,Intro to Quality Management,C-,1,Karen Schaffhausen,lutt0002,1243,ABUS 3301
UMNTC,ABUS,3301,302,Intro to Quality Management,F,3,Karen Schaffhausen,lutt0002,1243,ABUS 3301
UMNTC,ABUS,3301,302,Intro to Quality Management,W,7,Karen Schaffhausen,lutt0002,1243,ABUS 3301
UMNTC,ABUS,4013W,301,"Law, Ethics, &  Risk for Mgrs",A,3,Michael Essien,essi0007,1243,ABUS 4013W
UMNTC,ABUS,4013W,301,"Law, Ethics, &  Risk for Mgrs",A-,12,Michael Essien,essi0007,1243,ABUS 4013W
UMNTC,ABUS,4013W,301,"Law, Ethics, &  Risk for Mgrs",B,5,Michael Essien,essi0007,1243,ABUS 4013W
UMNTC,ABUS,4013W,301,"Law, Ethics, &  Risk for Mgrs",B+,4,Michael Essien,essi0007,1243,ABUS 4013W
UMNTC,ABUS,4013W,301,"Law, Ethics, &  Risk for Mgrs",B-,1,Michael Essien,essi0007,1243,ABUS 4013W
UMNTC,ABUS,4013W,301,"Law, Ethics, &  Risk for Mgrs",C+,1,Michael Essien,essi0007,1243,ABUS 4013W
UMNTC,ABUS,4013W,301,"Law, Ethics, &  Risk for Mgrs",D+,1,Michael Essien,essi0007,1243,ABUS 4013W
UMNTC,ABUS,4013W,301,"Law, Ethics, &  Risk for Mgrs",F,1,Michael Essien,essi0007,1243,ABUS 4013W
UMNTC,ABUS,4022W,301,Management in Organizations,A,11,Bradley Goodell,bgoodell,1243,ABUS 4022W
UMNTC,ABUS,4022W,301,Management in Organizations,A-,3,Bradley Goodell,bgoodell,1243,ABUS 4022W
UMNTC,ABUS,4022W,301,Management in Organizations,B,5,Bradley Goodell,bgoodell,1243,ABUS 4022W
UMNTC,ABUS,4022W,301,Management in Organizations,B+,3,Bradley Goodell,bgoodell,1243,ABUS 4022W
UMNTC,ABUS,4022W,301,Management in Organizations,B-,3,Bradley Goodell,bgoodell,1243,ABUS 4022W
UMNTC,ABUS,4022W,301,Management in Organizations,C,2,Bradley Goodell,bgoodell,1243,ABUS 4022W
UMNTC,ABUS,4022W,301,Management in Organizations,F,1,Bradley Goodell,bgoodell,1243,ABUS 4022W
UMNTC,ABUS,4022W,302,Management in Organizations,A,10,Bradley Goodell,bgoodell,1243,ABUS 4022W
UMNTC,ABUS,4022W,302,Management in Organizations,A-,6,Bradley Goodell,bgoodell,1243,ABUS 4022W
UMNTC,ABUS,4022W,302,Management in Organizations,B,1,Bradley Goodell,bgoodell,1243,ABUS 4022W
UMNTC,ABUS,4022W,302,Management in Organizations,B+,7,Bradley Goodell,bgoodell,1243,ABUS 4022W
UMNTC,ABUS,4022W,302,Management in Organizations,B-,1,Bradley Goodell,bgoodell,1243,ABUS 4022W
UMNTC,ABUS,4022W,302,Management in Organizations,C,2,Bradley Goodell,bgoodell,1243,ABUS 4022W
UMNTC,ABUS,4022W,302,Management in Organizations,C+,2,Bradley Goodell,bgoodell,1243,ABUS 4022W
UMNTC,ABUS,4022W,302,Management in Organizations,F,1,Bradley Goodell,bgoodell,1243,ABUS 4022W
UMNTC,ABUS,4022W,303,Management in Organizations,A,12,Bradley Goodell,bgoodell,1243,ABUS 4022W
UMNTC,ABUS,4022W,303,Management in Organizations,A-,7,Bradley Goodell,bgoodell,1243,ABUS 4022W
UMNTC,ABUS,4022W,303,Management in Organizations,B,5,Bradley Goodell,bgoodell,1243,ABUS 4022W
UMNTC,ABUS,4022W,303,Management in Organizations,B+,2,Bradley Goodell,bgoodell,1243,ABUS 4022W
UMNTC,ABUS,4022W,303,Management in Organizations,B-,1,Bradley Goodell,bgoodell,1243,ABUS 4022W
UMNTC,ABUS,4022W,303,Management in Organizations,C,2,Bradley Goodell,bgoodell,1243,ABUS 4022W
UMNTC,ABUS,4022W,303,Management in Organizations,C+,1,Bradley Goodell,bgoodell,1243,ABUS 4022W
UMNTC,ABUS,4022W,304,Management in Organizations,A,14,Uriah Giordana,ugiordan,1243,ABUS 4022W
UMNTC,ABUS,4022W,304,Management in Organizations,A-,4,Uriah Giordana,ugiordan,1243,ABUS 4022W
UMNTC,ABUS,4022W,304,Management in Organizations,B+,2,Uriah Giordana,ugiordan,1243,ABUS 4022W
UMNTC,ABUS,4022W,304,Management in Organizations,B-,2,Uriah Giordana,ugiordan,1243,ABUS 4022W
UMNTC,ABUS,4022W,304,Management in Organizations,C+,1,Uriah Giordana,ugiordan,1243,ABUS 4022W
UMNTC,ABUS,4022W,304,Management in Organizations,F,4,Uriah Giordana,ugiordan,1243,ABUS 4022W
UMNTC,ABUS,4022W,304,Management in Organizations,W,1,Uriah Giordana,ugiordan,1243,ABUS 4022W
