INSTITUTION,CAMPUS,SUBJECT,CATALOG_NBR,CLASS_SECTION,DESCR,CRSE_GRADE_OFF,GRADE_HDCNT,NAME,INTERNET_ID,TERM,FULL_NAME
UMNTC,UMNTC,ABUS,3051,301,Career Search for Profl Envt,C+,2,Carol Klempka,cklempka,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,301,Career Search for Profl Envt,S,2,Carol Klempka,cklempka,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,302,Career Search for Profl Envt,A,22,Carol Klempka,cklempka,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,302,Career Search for Profl Envt,A-,5,Carol Klempka,cklempka,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,302,Career Search for Profl Envt,B+,2,Carol Klempka,cklempka,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,302,Career Search for Profl Envt,C,1,Carol Klempka,cklempka,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,302,Career Search for Profl Envt,C+,1,Carol Klempka,cklempka,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,302,Career Search for Profl Envt,C-,1,Carol Klempka,cklempka,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,302,Career Search for Profl Envt,D,1,Carol Klempka,cklempka,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,302,Career Search for Profl Envt,S,1,Carol Klempka,cklempka,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,303,Career Search for Profl Envt,A,18,Caroline Marin,crmarin,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,303,Career Search for Profl Envt,A-,3,Caroline Marin,crmarin,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,303,Career Search for Profl Envt,B,3,Caroline Marin,crmarin,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,303,Career Search for Profl Envt,C,1,Caroline Marin,crmarin,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,303,Career Search for Profl Envt,D,2,Caroline Marin,crmarin,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,303,Career Search for Profl Envt,F,1,Caroline Marin,crmarin,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,303,Career Search for Profl Envt,S,1,Caroline Marin,crmarin,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,303,Career Search for Profl Envt,S,5,Caroline Marin,crmarin,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,304,Career Search for Profl Envt,A,16,Carol Klempka,cklempka,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,304,Career Search for Profl Envt,A-,3,Carol Klempka,cklempka,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,304,Career Search for Profl Envt,B,5,Carol Klempka,cklempka,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,304,Career Search for Profl Envt,B+,4,Carol Klempka,cklempka,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,304,Career Search for Profl Envt,C,2,Carol Klempka,cklempka,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,304,Career Search for Profl Envt,C+,2,Carol Klempka,cklempka,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,304,Career Search for Profl Envt,F,3,Carol Klempka,cklempka,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,305,Career Search for Profl Envt,A,19,Carol Klempka,cklempka,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,305,Career Search for Profl Envt,A-,1,Carol Klempka,cklempka,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,305,Career Search for Profl Envt,B+,2,Carol Klempka,cklempka,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,305,Career Search for Profl Envt,B-,1,Carol Klempka,cklempka,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,305,Career Search for Profl Envt,C,1,Carol Klempka,cklempka,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,305,Career Search for Profl Envt,C+,1,Carol Klempka,cklempka,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,305,Career Search for Profl Envt,C-,1,Carol Klempka,cklempka,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,305,Career Search for Profl Envt,D,1,Carol Klempka,cklempka,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,305,Career Search for Profl Envt,F,3,Carol Klempka,cklempka,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,305,Career Search for Profl Envt,S,1,Carol Klempka,cklempka,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,306,Career Search for Profl Envt,A,8,Caroline Marin,crmarin,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,306,Career Search for Profl Envt,A-,4,Caroline Marin,crmarin,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,306,Career Search for Profl Envt,B,2,Caroline Marin,crmarin,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,306,Career Search for Profl Envt,B+,4,Caroline Marin,crmarin,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,306,Career Search for Profl Envt,B-,1,Caroline Marin,crmarin,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,306,Career Search for Profl Envt,C,4,Caroline Marin,crmarin,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,306,Career Search for Profl Envt,D,1,Caroline Marin,crmarin,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,306,Career Search for Profl Envt,F,3,Caroline Marin,crmarin,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,306,Career Search for Profl Envt,N,1,Caroline Marin,crmarin,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,306,Career Search for Profl Envt,S,3,Caroline Marin,crmarin,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3051,306,Career Search for Profl Envt,W,2,Caroline Marin,crmarin,1253,ABUS 3051
UMNTC,UMNTC,ABUS,3052,301,Careers in Remote Gig Economy,A,25,Uriah Giordana,ugiordan,1253,ABUS 3052
UMNTC,UMNTC,ABUS,3052,301,Careers in Remote Gig Economy,A-,4,Uriah Giordana,ugiordan,1253,ABUS 3052
UMNTC,UMNTC,ABUS,3052,301,Careers in Remote Gig Economy,B,1,Uriah Giordana,ugiordan,1253,ABUS 3052
UMNTC,UMNTC,ABUS,3052,301,Careers in Remote Gig Economy,B+,2,Uriah Giordana,ugiordan,1253,ABUS 3052
UMNTC,UMNTC,ABUS,3052,301,Careers in Remote Gig Economy,B-,2,Uriah Giordana,ugiordan,1253,ABUS 3052
UMNTC,UMNTC,ABUS,3052,302,Careers in Remote Gig Economy,A,20,Uriah Giordana,ugiordan,1253,ABUS 3052
UMNTC,UMNTC,ABUS,3052,302,Careers in Remote Gig Economy,A-,3,Uriah Giordana,ugiordan,1253,ABUS 3052
