TERM,INSTITUTION,CAMPUS,SUBJECT,CATALOG_NBR,CLASS_SECTION,DESCR,CRSE_GRADE_OFF,GRADE_HDCNT,NAME,INTERNET_ID,FULL_NAME
1263,UMNTC,UMNTC,ABUS,3051,302,Career Search for Profl Envt,A,16,Carol Klempka,cklempka,ABUS 3051
1263,UMNTC,UMNTC,ABUS,3051,302,Career Search for Profl Envt,A-,4,Carol Klempka,cklempka,ABUS 3051
1263,UMNTC,UMNTC,ABUS,3051,302,Career Search for Profl Envt,B+,6,Carol Klempka,cklempka,ABUS 3051
1263,UMNTC,UMNTC,ABUS,3051,302,Career Search for Profl Envt,C+,1,Carol Klempka,cklempka,ABUS 3051
1263,UMNTC,UMNTC,ABUS,3051,302,Career Search for Profl Envt,C-,1,Carol Klempka,cklempka,ABUS 3051
1263,UMNTC,UMNTC,ABUS,3051,302,Career Search for Profl Envt,S,2,Carol Klempka,cklempka,ABUS 3051
1263,UMNTC,UMNTC,ABUS,3051,303,Career Search for Profl Envt,A,10,Caroline Marin,crmarin,ABUS 3051
1263,UMNTC,UMNTC,ABUS,3051,303,Career Search for Profl Envt,A-,5,Caroline Marin,crmarin,ABUS 3051
1263,UMNTC,UMNTC,ABUS,3051,303,Career Search for Profl Envt,B,4,Caroline Marin,crmarin,ABUS 3051
1263,UMNTC,UMNTC,ABUS,3051,303,Career Search for Profl Envt,B-,4,Caroline Marin,crmarin,ABUS 3051
1263,UMNTC,UMNTC,ABUS,3051,303,Career Search for Profl Envt,C,1,Caroline Marin,crmarin,ABUS 3051
1263,UMNTC,UMNTC,ABUS,3051,303,Career Search for Profl Envt,C+,3,Caroline Marin,crmarin,ABUS 3051
1263,UMNTC,UMNTC,ABUS,3051,303,Career Search for Profl Envt,D+,1,Caroline Marin,crmarin,ABUS 3051
1263,UMNTC,UMNTC,ABUS,3051,303,Career Search for Profl Envt,F,1,Caroline Marin,crmarin,ABUS 3051
1263,UMNTC,UMNTC,ABUS,3051,303,Career Search for Profl Envt,S,3,Caroline Marin,crmarin,ABUS 3051
1263,UMNTC,UMNTC,ABUS,3051,304,Career Search for Profl Envt,A,18,Carol Klempka,cklempka,ABUS 3051
1263,UMNTC,UMNTC,ABUS,3051,304,Career Search for Profl Envt,A-,3,Carol Klempka,cklempka,ABUS 3051
