CAMPUS,SUBJECT,CATALOG_NBR,CLASS_SECTION,DESCR,CRSE_GRADE_OFF,GRADE_HDCNT,HR_NAME,INTERNET_ID,TERM,FULL_NAME
UMNTC,ABUS,3051,303,Career Search for Profl Envt,B-,3,Carol Klempka,cklempka,1249,ABUS 3051
UMNTC,ABUS,3051,303,Career Search for Profl Envt,C,1,Carol Klempka,cklempka,1249,ABUS 3051
UMNTC,ABUS,3051,303,Career Search for Profl Envt,C+,1,Carol Klempka,cklempka,1249,ABUS 3051
UMNTC,ABUS,3051,303,Career Search for Profl Envt,C-,1,Carol Klempka,cklempka,1249,ABUS 3051
UMNTC,ABUS,3051,303,Career Search for Profl Envt,D+,1,Carol Klempka,cklempka,1249,ABUS 3051
UMNTC,ABUS,3051,303,Career Search for Profl Envt,S,2,Carol Klempka,cklempka,1249,ABUS 3051
UMNTC,ABUS,3051,304,Career Search for Profl Envt,A,15,Carol Klempka,cklempka,1249,ABUS 3051
UMNTC,ABUS,3051,304,Career Search for Profl Envt,A-,3,Carol Klempka,cklempka,1249,ABUS 3051
UMNTC,ABUS,3051,304,Career Search for Profl Envt,B+,5,Carol Klempka,cklempka,1249,ABUS 3051
UMNTC,ABUS,3051,304,Career Search for Profl Envt,B-,1,Carol Klempka,cklempka,1249,ABUS 3051
UMNTC,ABUS,3051,304,Career Search for Profl Envt,C,2,Carol Klempka,cklempka,1249,ABUS 3051
UMNTC,ABUS,3051,304,Career Search for Profl Envt,D,1,Carol Klempka,cklempka,1249,ABUS 3051
UMNTC,ABUS,3051,304,Career Search for Profl Envt,F,4,Carol Klempka,cklempka,1249,ABUS 3051
UMNTC,ABUS,3051,304,Career Search for Profl Envt,S,2,Carol Klempka,cklempka,1249,ABUS 3051
UMNTC,ABUS,3051,304,Career Search for Profl Envt,W,2,Carol Klempka,cklempka,1249,ABUS 3051
UMNTC,ABUS,3051,306,Career Search for Profl Envt,A,17,Caroline Marin,crmarin,1249,ABUS 3051
UMNTC,ABUS,3051,306,Career Search for Profl Envt,A-,1,Caroline Marin,crmarin,1249,ABUS 3051
UMNTC,ABUS,3051,306,Career Search for Profl Envt,B,7,Caroline Marin,crmarin,1249,ABUS 3051
UMNTC,ABUS,3051,306,Career Search for Profl Envt,B+,3,Caroline Marin,crmarin,1249,ABUS 3051
UMNTC,ABUS,3051,306,Career Search for Profl Envt,C,2,Caroline Marin,crmarin,1249,ABUS 3051
UMNTC,ABUS,3051,306,Career Search for Profl Envt,C+,1,Caroline Marin,crmarin,1249,ABUS 3051
UMNTC,ABUS,3051,306,Career Search for Profl Envt,C-,1,Caroline Marin,crmarin,1249,ABUS 3051
UMNTC,ABUS,3051,306,Career Search for Profl Envt,D,1,Caroline Marin,crmarin,1249,ABUS 3051
UMNTC,ABUS,3051,306,Career Search for Profl Envt,F,1,Caroline Marin,crmarin,1249,ABUS 3051
UMNTC,ABUS,3051,306,Career Search for Profl Envt,W,1,Caroline Marin,crmarin,1249,ABUS 3051
UMNTC,ABUS,3052,301,Careers in Remote Gig Economy,A,26,Uriah Giordana,ugiordan,1249,ABUS 3052
UMNTC,ABUS,3052,301,Careers in Remote Gig Economy,A-,2,Uriah Giordana,ugiordan,1249,ABUS 3052
UMNTC,ABUS,3052,301,Careers in Remote Gig Economy,B,1,Uriah Giordana,ugiordan,1249,ABUS 3052
UMNTC,ABUS,3052,301,Careers in Remote Gig Economy,B+,2,Uriah Giordana,ugiordan,1249,ABUS 3052
UMNTC,ABUS,3052,301,Careers in Remote Gig Economy,C+,1,Uriah Giordana,ugiordan,1249,ABUS 3052
UMNTC,ABUS,3052,301,Careers in Remote Gig Economy,F,1,Uriah Giordana,ugiordan,1249,ABUS 3052
UMNTC,ABUS,3052,302,Careers in Remote Gig Economy,A,23,Uriah Giordana,ugiordan,1249,ABUS 3052
UMNTC,ABUS,3052,302,Careers in Remote Gig Economy,A-,6,Uriah Giordana,ugiordan,1249,ABUS 3052
UMNTC,ABUS,3052,302,Careers in Remote Gig Economy,B,1,Uriah Giordana,ugiordan,1249,ABUS 3052
UMNTC,ABUS,3052,302,Careers in Remote Gig Economy,B-,1,Uriah Giordana,ugiordan,1249,ABUS 3052
UMNTC,ABUS,3052,302,Careers in Remote Gig Economy,C+,1,Uriah Giordana,ugiordan,1249,ABUS 3052
UMNTC,ABUS,3052,302,Careers in Remote Gig Economy,F,2,Uriah Giordana,ugiordan,1249,ABUS 3052
UMNTC,ABUS,3052,302,Careers in Remote Gig Economy,W,1,Uriah Giordana,ugiordan,1249,ABUS 3052
UMNTC,ABUS,3201,301,Digital Design-Small Business,A,16,David Husom,husom001,1249,ABUS 3201
UMNTC,ABUS,3201,301,Digital Design-Small Business,A-,4,David Husom,husom001,1249,ABUS 3201
UMNTC,ABUS,3201,301,Digital Design-Small Business,B,3,David Husom,husom001,1249,ABUS 3201
UMNTC,ABUS,3201,301,Digital Design-Small Business,B+,4,David Husom,husom001,1249,ABUS 3201
UMNTC,ABUS,3201,301,Digital Design-Small Business,C+,2,David Husom,husom001,1249,ABUS 3201
UMNTC,ABUS,3201,301,Digital Design-Small Business,F,1,David Husom,husom001,1249,ABUS 3201
UMNTC,ABUS,3201,302,Digital Design-Small Business,A,8,Jeff Neidt,neidt004,1249,ABUS 3201
UMNTC,ABUS,3201,302,Digital Design-Small Business,A-,6,Jeff Neidt,neidt004,1249,ABUS 3201
UMNTC,ABUS,3201,302,Digital Design-Small Business,B+,1,Jeff Neidt,neidt004,1249,ABUS 3201
UMNTC,ABUS,3201,302,Digital Design-Small Business,B-,1,Jeff Neidt,neidt004,1249,ABUS 3201
UMNTC,ABUS,3201,302,Digital Design-Small Business,C+,1,Jeff Neidt,neidt004,1249,ABUS 3201
UMNTC,ABUS,3201,302,Digital Design-Small Business,D,1,Jeff Neidt,neidt004,1249,ABUS 3201
UMNTC,ABUS,3201,302,Digital Design-Small Business,F,2,Jeff Neidt,neidt004,1249,ABUS 3201
UMNTC,ABUS,3301,301,Intro to Quality Management,A,22,Karen Schaffhausen,lutt0002,1249,ABUS 3301
UMNTC,ABUS,3301,301,Intro to Quality Management,A-,5,Karen Schaffhausen,lutt0002,1249,ABUS 3301
UMNTC,ABUS,3301,301,Intro to Quality Management,B,3,Karen Schaffhausen,lutt0002,1249,ABUS 3301
UMNTC,ABUS,3301,301,Intro to Quality Management,B-,1,Karen Schaffhausen,lutt0002,1249,ABUS 3301
UMNTC,ABUS,3301,301,Intro to Quality Management,F,1,Karen Schaffhausen,lutt0002,1249,ABUS 3301
UMNTC,ABUS,3301,301,Intro to Quality Management,W,2,Karen Schaffhausen,lutt0002,1249,ABUS 3301
UMNTC,ABUS,3301,302,Intro to Quality Management,A,23,Karen Schaffhausen,lutt0002,1249,ABUS 3301
UMNTC,ABUS,3301,302,Intro to Quality Management,A-,1,Karen Schaffhausen,lutt0002,1249,ABUS 3301
UMNTC,ABUS,3301,302,Intro to Quality Management,B,2,Karen Schaffhausen,lutt0002,1249,ABUS 3301
UMNTC,ABUS,3301,302,Intro to Quality Management,B+,2,Karen Schaffhausen,lutt0002,1249,ABUS 3301
UMNTC,ABUS,3301,302,Intro to Quality Management,B-,1,Karen Schaffhausen,lutt0002,1249,ABUS 3301
UMNTC,ABUS,3301,302,Intro to Quality Management,C,1,Karen Schaffhausen,lutt0002,1249,ABUS 3301
UMNTC,ABUS,3301,302,Intro to Quality Management,C+,1,Karen Schaffhausen,lutt0002,1249,ABUS 3301
UMNTC,ABUS,3301,302,Intro to Quality Management,D+,1,Karen Schaffhausen,lutt0002,1249,ABUS 3301
UMNTC,ABUS,3301,302,Intro to Quality Management,F,3,Karen Schaffhausen,lutt0002,1249,ABUS 3301
UMNTC,ABUS,3301,302,Intro to Quality Management,W,1,Karen Schaffhausen,lutt0002,1249,ABUS 3301
UMNTC,ABUS,3510,301,Virtual Global Communication,A,10,Ann Lowry,lowry009,1249,ABUS 3510
UMNTC,ABUS,3510,301,Virtual Global Communication,A-,11,Ann Lowry,lowry009,1249,ABUS 3510
UMNTC,ABUS,3510,301,Virtual Global Communication,B,2,Ann Lowry,lowry009,1249,ABUS 3510
UMNTC,ABUS,3510,301,Virtual Global Communication,B+,2,Ann Lowry,lowry009,1249,ABUS 3510
UMNTC,ABUS,3510,301,Virtual Global Communication,B-,2,Ann Lowry,lowry009,1249,ABUS 3510
UMNTC,ABUS,3510,301,Virtual Global Communication,C,1,Ann Lowry,lowry009,1249,ABUS 3510
UMNTC,ABUS,3510,301,Virtual Global Communication,C+,1,Ann Lowry,lowry009,1249,ABUS 3510
UMNTC,ABUS,3510,301,Virtual Global Communication,C-,1,Ann Lowry,lowry009,1249,ABUS 3510
UMNTC,ABUS,3510,301,Virtual Global Communication,F,2,Ann Lowry,lowry009,1249,ABUS 3510
UMNTC,ABUS,3510,301,Virtual Global Communication,W,1,Ann Lowry,lowry009,1249,ABUS 3510
UMNTC,ABUS,3950,301,Special Topics,A,15,Amanda Weinkauf,wein0123,1249,ABUS 3950
UMNTC,ABUS,3950,301,Special Topics,A-,2,Amanda Weinkauf,wein0123,1249,ABUS 3950
UMNTC,ABUS,3950,301,Special Topics,B,3,Amanda Weinkauf,wein0123,1249,ABUS 3950
UMNTC,ABUS,3950,301,Special Topics,B+,1,Amanda Weinkauf,wein0123,1249,ABUS 3950
UMNTC,ABUS,3950,301,Special Topics,B-,1,Amanda Weinkauf,wein0123,1249,ABUS 3950
UMNTC,ABUS,3950,301,Special Topics,C-,1,Amanda Weinkauf,wein0123,1249,ABUS 3950
UMNTC,ABUS,4013W,301,"Law, Ethics, &  Risk for Mgrs",A,3,Michael Essien,essi0007,1249,ABUS 4013W
UMNTC,ABUS,4013W,301,"Law, Ethics, &  Risk for Mgrs",A-,14,Michael Essien,essi0007,1249,ABUS 4013W
UMNTC,ABUS,4013W,301,"Law, Ethics, &  Risk for Mgrs",B,5,Michael Essien,essi0007,1249,ABUS 4013W
UMNTC,ABUS,4013W,301,"Law, Ethics, &  Risk for Mgrs",B+,3,Michael Essien,essi0007,1249,ABUS 4013W
UMNTC,ABUS,4013W,301,"Law, Ethics, &  Risk for Mgrs",B-,2,Michael Essien,essi0007,1249,ABUS 4013W
UMNTC,ABUS,4013W,301,"Law, Ethics, &  Risk for Mgrs",C,1,Michael Essien,essi0007,1249,ABUS 4013W
UMNTC,ABUS,4013W,301,"Law, Ethics, &  Risk for Mgrs",C+,1,Michael Essien,essi0007,1249,ABUS 4013W
UMNTC,ABUS,4013W,301,"Law, Ethics, &  Risk for Mgrs",F,1,Michael Essien,essi0007,1249,ABUS 4013W
UMNTC,ABUS,4022W,301,Management in Organizations,A,15,Bradley Goodell,bgoodell,1249,ABUS 4022W
UMNTC,ABUS,4022W,301,Management in Organizations,A-,4,Bradley Goodell,bgoodell,1249,ABUS 4022W
UMNTC,ABUS,4022W,301,Management in Organizations,B,3,Bradley Goodell,bgoodell,1249,ABUS 4022W
UMNTC,ABUS,4022W,301,Management in Organizations,B+,3,Bradley Goodell,bgoodell,1249,ABUS 4022W
UMNTC,ABUS,4022W,301,Management in Organizations,B-,1,Bradley Goodell,bgoodell,1249,ABUS 4022W
UMNTC,ABUS,4022W,301,Management in Organizations,C+,2,Bradley Goodell,bgoodell,1249,ABUS 4022W
UMNTC,ABUS,4022W,301,Management in Organizations,F,1,Bradley Goodell,bgoodell,1249,ABUS 4022W
UMNTC,ABUS,4022W,301,Management in Organizations,W,1,Bradley Goodell,bgoodell,1249,ABUS 4022W
UMNTC,ABUS,4022W,302,Management in Organizations,A,10,Bradley Goodell,bgoodell,1249,ABUS 4022W
