DEEP_UND,STIM_INT,TECH_EFF,ACC_SUP,EFFORT,GRAD_STAND,RECC,RESP,FULL_NAME
5.0,5.0,5.0,4.8,4.4,5.2,5.0,5,ABUS 4151
5.0,5.0,5.0,4.0,5.5,5.5,3.5,2,ABUS 4217
4.33,4.56,4.22,3.89,3.25,4.67,4.0,9,ABUS 4217
4.8,5.2,5.0,4.8,4.0,4.8,4.2,5,ABUS 4218
4.2,4.0,3.6,3.6,3.6,4.6,3.4,5,ABUS 4218
5.2,5.33,5.17,5.0,5.17,5.33,5.0,6,ABUS 4501
5.22,4.89,4.67,4.67,5.44,5.11,4.78,9,ABUS 4501
6.0,6.0,6.0,6.0,6.0,6.0,6.0,2,ABUS 4502
5.5,5.5,5.5,5.5,5.5,5.5,5.5,2,ABUS 4502
6.0,5.5,6.0,6.0,6.0,5.5,6.0,2,ABUS 4502
6.0,5.5,5.5,5.5,5.5,5.5,5.5,2,ABUS 4509
4.67,4.67,5.0,4.67,4.67,4.67,4.67,3,ABUS 4515
5.14,5.43,5.33,5.0,5.71,5.71,5.29,7,ABUS 4515
4.67,3.33,4.67,4.67,4.67,5.0,4.0,3,ABUS 4515
5.0,4.6,5.2,5.0,5.5,4.8,5.2,5,ABUS 4515
5.0,6.0,4.0,5.0,6.0,6.0,6.0,1,ABUS 4518
5.88,6.0,5.88,6.0,5.88,6.0,6.0,8,ABUS 4545
5.5,5.5,5.5,5.0,5.0,4.0,5.0,2,ABUS 4545
5.33,5.33,5.33,5.67,5.33,4.33,5.33,3,ABUS 4545
5.0,5.0,5.5,5.5,5.5,5.0,5.5,2,ABUS 4545
5.0,4.4,5.2,5.2,4.4,5.2,4.6,5,ABUS 4571
5.54,5.38,5.58,5.38,5.46,5.23,5.23,13,ABUS 4571
4.33,4.17,5.0,4.33,4.0,3.67,4.17,6,ABUS 4571
6.0,5.4,5.4,5.6,5.6,5.2,5.8,5,ABUS 4571
5.0,5.0,4.0,4.0,5.0,5.0,5.0,1,ABUS 4701
5.0,4.67,5.67,5.33,5.33,5.0,5.33,3,ABUS 4701
4.5,4.5,4.5,5.0,5.0,4.5,5.0,2,ABUS 4701
5.33,5.17,5.83,5.33,5.67,5.5,5.5,6,ABUS 4701
4.45,4.36,4.55,4.18,3.27,3.09,3.64,11,ABUS 4702
5.75,6.0,5.75,5.25,5.25,5.25,5.75,4,ABUS 4702
5.0,4.91,4.92,4.58,3.75,3.92,4.58,12,ABUS 4702
5.67,5.17,4.83,5.0,4.33,4.83,4.5,6,ABUS 4702
6.0,6.0,6.0,6.0,6.0,6.0,6.0,1,ABUS 4703
4.5,5.0,3.5,4.5,5.5,5.5,4.0,2,ABUS 4703
4.0,4.0,5.0,4.0,6.0,6.0,4.0,1,ABUS 4705
6.0,5.5,5.5,5.5,5.5,5.5,5.5,2,ABUS 4013W
4.75,4.75,4.25,4.75,4.75,4.75,3.25,4,ABUS 4013W
5.33,4.33,6.0,5.67,6.0,6.0,5.33,4,ABUS 4013W
4.0,2.0,2.5,5.0,4.5,4.0,3.0,2,ABUS 4013W
5.31,5.15,5.69,5.31,5.62,5.62,5.62,13,ABUS 4023W
5.0,4.88,5.33,5.0,5.22,5.44,5.33,9,ABUS 4023W
5.17,4.5,5.33,5.33,5.0,5.67,5.17,6,ABUS 4023W
5.6,5.13,5.73,5.53,5.47,5.73,5.53,15,ABUS 4023W
5.42,4.58,5.42,5.25,5.58,5.25,5.08,12,ABUS 4023W
5.53,4.87,5.53,5.47,5.47,5.47,5.2,15,ACCT 1911
5.67,5.46,5.69,5.69,5.23,5.69,5.38,13,ACCT 1911
6.0,6.0,5.83,6.0,5.83,5.75,5.92,12,ACCT 1911
5.42,5.42,5.33,5.17,5.42,5.67,5.5,13,ACCT 1911
5.31,4.62,5.2,5.17,5.16,5.19,5.06,345,ACCT 2050
5.14,4.46,5.09,5.07,4.98,5.07,4.85,388,ACCT 2050
4.06,3.59,3.65,4.12,4.18,3.71,3.47,17,ACCT 2050
5.39,4.92,5.29,5.33,5.26,5.29,5.22,503,ACCT 2050
5.44,4.79,5.41,5.4,5.23,5.41,5.16,357,ACCT 2050
5.39,4.69,5.45,5.39,5.36,5.61,5.1,224,ACCT 3001
5.49,4.88,5.37,5.47,5.5,5.57,5.31,163,ACCT 3001
5.55,5.3,5.5,5.6,5.45,5.5,5.3,20,ACCT 3001
5.11,4.37,5.27,5.16,4.94,5.22,4.77,188,ACCT 3001
5.59,4.95,5.55,5.55,5.64,5.68,5.39,167,ACCT 3001
5.24,4.89,5.37,5.2,5.22,5.07,5.26,54,ACCT 3201
4.87,4.76,5.05,5.01,5.06,4.99,4.96,67,ACCT 3201
5.04,4.74,5.13,5.07,5.3,5.06,5.13,54,ACCT 3201
4.88,4.63,5.32,4.79,5.33,5.25,5.04,24,ACCT 3201
5.39,4.76,5.35,5.27,4.92,5.4,5.06,130,ACCT 5101
5.18,4.54,5.28,5.18,4.37,5.3,4.7,98,ACCT 5101
5.81,5.43,5.86,5.76,5.48,5.67,5.67,21,ACCT 5101
5.34,4.71,5.28,5.26,4.91,5.36,4.93,135,ACCT 5101
5.58,4.86,5.4,5.41,5.01,5.47,5.07,84,ACCT 5101
4.79,4.04,4.62,4.44,4.05,4.41,3.85,82,ACCT 5102
4.91,4.53,4.89,4.68,4.6,4.67,4.48,45,ACCT 5102
5.62,5.37,5.46,5.58,5.47,5.6,5.56,62,ACCT 5102
4.48,3.8,4.08,3.88,3.88,4.8,3.68,25,ACCT 5102
5.57,5.34,5.2,5.37,5.51,5.63,5.59,35,ACCT 5125
5.35,4.94,5.39,5.16,5.31,5.44,5.28,32,ACCT 5125
4.0,4.75,4.5,5.0,5.25,3.25,5.0,4,ACCT 5125
5.18,4.9,4.95,5.15,5.46,5.26,5.08,39,ACCT 5125
5.5,5.35,5.55,5.7,5.75,5.75,5.7,20,ACCT 5125
5.14,5.0,5.0,5.0,4.71,5.14,5.14,7,ACCT 5126
5.39,5.0,5.37,5.23,5.53,5.59,5.38,32,ACCT 5126
5.35,5.0,5.4,5.1,5.25,5.25,5.1,20,ACCT 5126
5.15,4.69,4.92,4.92,5.08,5.15,5.0,13,ACCT 5126
5.58,5.44,5.6,5.53,5.44,5.59,5.42,55,ACCT 5135
5.52,5.09,5.45,5.36,5.43,5.43,5.25,44,ACCT 5135
5.43,5.24,5.11,5.36,5.16,5.42,5.23,45,ACCT 5135
5.05,4.46,4.77,4.84,4.51,5.11,4.54,39,ACCT 5135
4.59,4.14,4.65,4.4,3.83,4.74,4.03,35,ACCT 5141
4.88,4.76,4.73,4.82,3.85,4.91,4.42,33,ACCT 5141
4.91,4.65,5.04,4.98,4.83,5.04,4.87,46,ACCT 5141
5.41,5.27,5.45,5.5,4.82,5.0,5.18,22,ACCT 5141
5.6,5.32,5.66,5.51,5.59,5.6,5.55,88,ACCT 5160
4.61,4.43,4.8,4.79,4.5,4.96,4.54,28,ACCT 5160
5.27,5.12,5.44,5.35,5.26,5.31,5.34,99,ACCT 5160
5.52,5.34,5.58,5.43,5.7,5.75,5.59,56,ACCT 5160
5.5,5.18,5.5,5.43,5.23,5.46,5.32,28,ACCT 5180
5.3,4.75,5.41,5.38,4.97,5.53,4.97,33,ACCT 5180
5.65,5.29,5.41,5.24,5.47,5.47,5.35,17,ACCT 5236
5.83,5.28,5.67,5.56,5.61,5.72,5.56,18,ACCT 5236
5.4,5.19,4.86,5.38,5.38,5.24,5.24,21,ACCT 5236
5.59,5.24,5.0,5.53,5.47,5.18,5.12,17,ACCT 5236
5.25,4.59,5.19,5.09,4.91,5.22,4.97,32,ACCT 5310
5.37,5.19,5.52,5.48,5.56,5.63,5.26,27,ACCT 5310
5.37,5.35,5.7,5.6,5.6,5.75,5.7,20,ACCT 6100
5.71,5.47,5.67,5.67,5.72,5.72,5.69,36,ACCT 6100
5.64,5.58,5.58,5.73,5.62,5.54,5.65,26,ACCT 6601
5.33,5.14,5.36,5.33,5.05,4.88,5.14,42,ACCT 6601
5.71,5.54,5.79,5.79,5.88,5.5,5.79,24,ACCT 6602
5.41,5.23,5.59,5.59,5.67,5.28,5.49,39,ACCT 6602
5.5,5.25,5.5,5.5,5.5,5.63,5.5,8,ACCT 6603
5.73,5.64,5.27,5.73,5.45,5.55,5.82,11,ACCT 6603
5.53,5.56,5.63,5.63,5.38,5.38,5.5,16,ACCT 6604
5.05,5.0,4.95,5.05,5.32,5.05,5.32,19,ACCT 6604
5.11,4.89,4.89,4.78,4.72,5.17,4.83,18,ACCT 6606
4.89,4.52,5.33,5.05,5.1,5.14,4.67,21,ACCT 6606
6.0,6.0,6.0,6.0,6.0,6.0,6.0,2,ACCT 8801
6.0,6.0,6.0,6.0,6.0,6.0,6.0,1,ACCT 8802
6.0,6.0,6.0,6.0,6.0,6.0,6.0,1,ACCT 8803
6.0,6.0,6.0,6.0,6.0,6.0,6.0,4,ACCT 8811
6.0,6.0,6.0,6.0,6.0,6.0,6.0,1,ACCT 8813
6.0,6.0,6.0,6.0,6.0,6.0,6.0,1,ACCT 8822
6.0,6.0,6.0,6.0,6.0,6.0,6.0,3,ACCT 8823
6.0,6.0,6.0,6.0,6.0,6.0,6.0,2,ACCT 8831
6.0,6.0,6.0,6.0,6.0,6.0,6.0,1,ACCT 8832
6.0,6.0,6.0,6.0,6.0,6.0,6.0,1,ACCT 8832
6.0,6.0,6.0,6.0,6.0,6.0,6.0,3,ACCT 8833
5.39,4.5,5.43,5.57,5.26,5.48,5.26,23,ACCT 2050H
5.64,4.91,5.73,5.45,5.36,5.09,5.7,11,ACCT 2050H
5.5,5.5,4.8,5.33,5.33,5.67,5.33,6,ACL 5211
6.0,6.0,6.0,6.0,5.5,6.0,5.5,2,ACL 5211
5.33,5.17,4.5,5.0,5.5,5.17,5.17,6,ACL 5221
