Term,DEEP_UND,STIM_INT,TECH_EFF,ACC_SUP,EFFORT,GRAD_STAND,RECC,RESP,FULL_NAME
Fall 2021,5.4,5.2,4.8,4.6,5.0,4.2,4.8,5,EE 5364
Fall 2022,5.57,5.14,5.57,5.71,5.71,5.86,5.57,7,EE 5364
Fall 2021,6.0,5.57,5.71,6.0,5.86,6.0,6.0,7,EE 5371
Fall 2021,5.2,4.4,5.4,5.3,5.4,5.7,5.3,10,EE 5373
Sum 2022,6.0,6.0,6.0,6.0,5.5,6.0,6.0,4,EE 5373
Fall 2022,5.9,5.5,5.9,5.9,5.8,5.9,6.0,10,EE 5373
Fall 2020,5.5,5.0,5.0,5.5,5.5,5.5,5.5,2,EE 5389
Spr 2021,4.57,4.71,4.79,4.71,4.57,4.43,4.71,14,EE 5393
Spr 2022,5.35,5.15,5.3,5.05,5.5,5.45,5.35,20,EE 5393
Spr 2023,5.54,5.58,5.35,5.44,5.48,5.65,5.64,26,EE 5393
Fall 2020,5.5,5.5,5.5,5.75,5.25,5.25,5.0,4,EE 5501
Spr 2021,5.71,5.71,5.14,5.33,5.0,5.29,5.57,7,EE 5505
Spr 2022,5.8,5.4,5.6,5.2,4.6,4.6,5.4,5,EE 5505
Spr 2023,5.33,4.33,4.33,4.33,4.33,4.33,4.33,3,EE 5505
Fall 2020,5.42,5.17,4.67,5.0,5.08,5.17,5.0,12,EE 5531
Fall 2021,5.11,4.56,4.44,4.44,4.67,4.11,4.44,9,EE 5531
Fall 2022,5.0,4.5,4.88,4.5,4.25,4.88,4.63,8,EE 5531
Spr 2021,4.8,4.2,4.8,4.6,5.4,5.6,4.8,5,EE 5542
Spr 2023,5.5,5.75,5.25,5.25,5.25,4.75,5.0,4,EE 5542
Spr 2021,6.0,5.0,5.75,6.0,5.25,5.75,6.0,4,EE 5545
Spr 2023,6.0,6.0,6.0,6.0,6.0,5.25,5.75,4,EE 5545
Spr 2023,5.57,5.43,5.29,5.29,4.57,5.29,5.43,7,EE 5549
Spr 2021,5.0,5.0,4.86,4.88,5.13,5.13,4.75,8,EE 5561
Spr 2022,6.0,6.0,6.0,6.0,5.75,6.0,6.0,5,EE 5561
Spr 2021,6.0,6.0,6.0,6.0,5.0,6.0,6.0,1,EE 5581
Fall 2022,5.4,5.8,4.8,5.0,4.4,4.2,5.2,5,EE 5581
Fall 2020,5.5,5.17,6.0,5.5,5.17,5.67,5.33,6,EE 5601
Fall 2021,5.29,5.0,4.71,5.0,4.29,3.86,4.57,7,EE 5601
Fall 2022,5.25,5.75,5.5,5.5,5.5,5.0,5.75,4,EE 5601
Spr 2022,5.6,5.6,5.2,5.4,5.2,5.0,5.4,5,EE 5602
Fall 2021,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1,EE 5607
Fall 2022,5.5,5.5,5.5,5.5,5.5,6.0,6.0,2,EE 5607
Spr 2021,5.8,5.8,5.8,5.8,5.4,5.8,5.8,5,EE 5613
Spr 2022,5.5,5.5,5.5,5.5,4.0,5.5,5.5,4,EE 5613
Spr 2023,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1,EE 5613
Fall 2020,5.25,5.5,5.75,6.0,5.5,5.0,5.5,4,EE 5616
Spr 2021,6.0,5.83,5.5,5.92,5.75,5.58,5.92,12,EE 5621
Spr 2022,5.28,5.28,5.17,5.11,4.72,5.06,5.22,18,EE 5621
Spr 2023,5.75,5.75,5.33,5.22,5.11,5.89,5.11,9,EE 5621
Fall 2021,4.6,4.0,4.0,4.2,4.4,3.8,4.2,5,EE 5624
Fall 2020,5.5,5.5,6.0,5.5,5.5,5.0,5.5,2,EE 5627
Spr 2022,5.5,5.5,5.5,5.0,5.75,5.0,5.5,4,EE 5640
Fall 2020,4.75,4.38,5.25,5.0,4.13,4.75,4.13,9,EE 5653
Fall 2021,5.7,5.7,5.3,5.9,5.2,5.9,5.4,10,EE 5653
Fall 2022,5.43,5.14,5.17,5.33,4.86,5.57,5.14,7,EE 5653
Fall 2020,5.36,5.5,5.27,5.27,5.73,5.0,5.45,11,EE 5657
Fall 2022,5.5,5.13,4.88,5.25,5.13,4.75,4.63,9,EE 5657
Spr 2021,4.0,4.0,3.0,5.0,5.0,2.0,2.0,1,EE 5670
Spr 2022,5.75,5.5,5.5,5.5,5.0,5.0,5.25,4,EE 5670
Spr 2023,6.0,6.0,6.0,6.0,5.33,4.67,6.0,3,EE 5670
Spr 2022,5.5,5.44,5.56,5.56,4.87,5.69,5.56,16,EE 5705
Spr 2023,5.7,5.7,5.7,5.56,4.8,5.6,5.6,10,EE 5705
Spr 2022,5.89,5.78,5.89,5.89,5.89,6.0,5.89,9,EE 5707
Spr 2023,5.5,5.25,5.5,5.75,6.0,6.0,6.0,5,EE 5707
Fall 2021,5.67,5.67,4.67,5.33,6.0,6.0,5.33,3,EE 5721
Spr 2021,5.5,5.5,4.5,4.75,5.25,5.25,4.88,8,EE 5741
Fall 2021,5.25,4.75,5.5,5.25,5.5,5.0,4.75,4,EE 5741
Spr 2023,4.5,4.0,5.25,4.5,5.25,5.5,4.25,4,EE 5741
Fall 2020,5.6,5.8,5.8,5.8,5.9,5.7,5.8,10,EE 5745
Spr 2021,5.0,5.29,5.14,5.17,5.71,5.29,5.57,7,EE 5811
Fall 2020,5.25,5.25,5.13,5.5,5.13,5.25,5.25,8,EE 5940
Fall 2021,5.08,5.31,5.23,5.0,4.62,5.08,4.92,13,EE 5940
Spr 2023,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2,EE 5940
Fall 2020,5.7,5.63,5.8,5.78,5.89,6.0,5.75,10,EE 5980
Fall 2021,5.33,5.16,5.52,5.4,5.75,5.58,5.38,25,EE 5980
Fall 2022,5.46,5.33,5.69,5.73,5.73,5.8,5.67,15,EE 5980
Fall 2020,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3,EE 5990
Fall 2021,6.0,6.0,6.0,5.67,6.0,6.0,6.0,4,EE 5990
Spr 2022,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3,EE 5990
Fall 2022,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2,EE 5990
Spr 2023,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2,EE 5990
Spr 2022,5.33,5.33,5.0,5.67,6.0,6.0,5.0,3,EE 8215
Spr 2023,5.67,5.67,5.89,5.56,5.78,5.56,5.78,9,EE 8215
Fall 2021,5.67,5.67,5.67,5.67,5.33,5.33,5.67,3,EE 8231
Spr 2023,5.29,5.29,5.57,5.71,5.71,5.29,5.71,8,EE 8243
Spr 2021,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2,EE 8337
Fall 2020,5.8,5.8,5.8,5.6,5.8,5.8,5.6,5,EE 8350
Spr 2023,5.55,5.45,5.55,5.4,5.55,5.55,5.55,11,EE 8350
Fall 2021,5.73,5.73,5.91,5.73,6.0,5.9,6.0,11,EE 8351
Spr 2023,5.0,5.5,5.0,5.0,5.5,5.5,5.0,3,EE 8367
Spr 2023,5.7,5.6,5.7,5.5,5.2,5.7,5.4,10,EE 8510
Spr 2021,4.83,4.43,4.14,4.71,4.71,4.83,4.83,7,EE 8581
Spr 2022,6.0,6.0,5.5,6.0,6.0,5.5,6.0,2,EE 8581
Spr 2023,5.33,5.67,5.0,5.0,5.0,4.33,4.67,3,EE 8581
Fall 2021,5.33,5.33,5.33,5.33,5.0,4.67,4.67,3,EE 8591
Fall 2020,6.0,5.75,6.0,5.75,5.75,6.0,6.0,4,EE 8611
Spr 2023,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2,EE 8630
Fall 2020,5.0,4.0,5.5,5.0,6.0,6.0,5.5,2,EE 8660
Spr 2021,5.33,5.33,5.67,5.33,5.67,6.0,5.33,3,EE 8660
Fall 2021,5.25,5.75,5.5,5.29,5.38,5.63,5.63,8,EE 8660
Spr 2022,5.67,5.67,5.67,5.67,5.67,5.67,5.67,3,EE 8660
Fall 2022,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3,EE 8660
Spr 2023,6.0,6.0,6.0,6.0,6.0,,6.0,1,EE 8660
Spr 2022,5.29,5.0,5.43,5.14,5.86,5.14,5.43,7,EE 8741
Spr 2021,5.43,5.43,5.43,4.57,4.29,4.86,4.86,7,EE 8744
Sum 2021,6.0,5.0,6.0,6.0,6.0,4.0,6.0,1,EE 8940
Fall 2020,5.4,4.6,4.5,5.1,4.6,4.9,4.7,10,EE 8950
Spr 2021,5.7,5.6,5.7,5.7,5.6,5.2,5.5,10,EE 8950
Fall 2021,5.2,5.4,5.6,5.5,5.4,5.6,5.2,5,EE 8950
Fall 2022,5.25,5.0,5.0,5.0,5.0,5.0,5.0,4,EE 8950
Fall 2020,4.7,4.91,5.3,5.1,5.88,5.13,5.33,11,EE 8970
Fall 2021,5.07,5.0,5.14,5.04,5.35,5.38,5.0,30,EE 8970
Fall 2022,5.13,5.13,5.33,5.2,5.47,5.62,5.57,15,EE 8970
Spr 2021,5.2,5.17,5.33,5.0,5.67,5.33,4.67,7,EE 8980
Spr 2022,5.42,5.0,5.77,5.5,5.21,5.29,5.08,16,EE 8980
Spr 2023,5.83,5.67,5.71,5.0,5.83,5.8,5.0,7,EE 8980
Fall 2020,5.38,5.0,5.06,5.27,5.44,5.31,4.94,16,EE 1701W
Fall 2021,4.22,4.33,4.47,4.59,5.0,5.33,4.56,18,EE 1701W
Fall 2022,4.54,4.15,4.31,4.12,4.69,4.62,3.96,26,EE 1701W
Fall 2020,6.0,5.0,5.0,5.0,6.0,6.0,5.0,1,EE 4389W
Fall 2020,5.2,5.5,5.0,5.4,5.6,5.2,5.5,5,EE 4951W
Spr 2021,3.7,3.52,3.45,3.3,3.96,2.35,3.35,24,EE 4951W
Fall 2021,5.67,5.33,5.33,5.67,5.67,5.67,5.67,4,EE 4951W
Spr 2022,4.98,4.78,4.94,4.79,5.13,5.06,5.06,54,EE 4951W
Fall 2022,5.27,5.13,4.87,5.0,5.2,5.2,5.43,15,EE 4951W
Spr 2023,5.1,4.95,5.3,5.05,5.4,5.0,5.35,20,EE 4951W
Fall 2020,5.6,5.7,5.4,5.6,5.5,5.6,5.7,10,EEB 3001
Spr 2021,5.13,5.07,5.6,5.2,5.73,5.6,5.4,15,EEB 3001
Sum 2021,4.33,4.67,5.5,4.67,5.33,3.67,5.0,3,EEB 3001
Fall 2021,4.78,4.11,5.0,4.78,5.0,4.67,4.89,9,EEB 3001
Spr 2022,5.52,5.42,5.24,5.45,5.42,5.42,5.39,31,EEB 3001
Fall 2022,5.71,5.43,5.71,5.86,5.57,5.71,5.71,7,EEB 3001
Spr 2021,5.14,4.86,4.55,4.59,4.59,5.09,4.68,22,EEB 3002
Spr 2022,5.61,5.37,5.41,5.26,4.55,5.39,4.95,39,EEB 3002
Spr 2023,5.38,5.11,5.26,5.22,4.81,5.41,5.14,88,EEB 3002
Fall 2020,5.48,5.24,5.33,5.34,5.21,5.29,5.35,196,EEB 3407
Sum 2021,5.22,5.19,5.0,5.23,4.62,5.26,5.04,27,EEB 3407
Fall 2021,5.4,4.94,5.14,5.03,5.24,5.23,5.09,141,EEB 3407
Sum 2022,5.83,5.78,5.54,5.66,5.37,5.37,5.68,41,EEB 3407
Fall 2022,5.18,4.9,5.17,5.14,5.32,5.18,5.13,124,EEB 3407
Spr 2023,5.51,5.17,5.46,5.42,5.66,5.46,5.58,230,EEB 3407
Sum 2023,5.72,5.47,5.44,5.69,5.66,5.69,5.69,32,EEB 3407
Fall 2020,5.16,4.88,5.13,5.25,5.09,5.22,5.03,32,EEB 3409
Spr 2021,5.23,4.99,4.85,5.1,5.18,5.03,4.86,75,EEB 3409
Fall 2021,4.79,4.43,4.72,4.8,4.55,4.72,4.5,61,EEB 3409
Spr 2022,5.4,5.02,5.21,5.24,5.32,5.28,5.18,156,EEB 3409
Fall 2022,5.13,4.54,4.91,4.88,5.01,5.03,4.71,113,EEB 3409
Spr 2023,5.25,4.85,4.85,5.18,5.18,5.2,4.91,167,EEB 3409
Spr 2021,4.0,3.77,4.38,4.23,4.54,2.85,3.54,13,EEB 3534
Spr 2023,3.25,3.57,3.63,3.13,5.13,2.25,3.0,8,EEB 3534
Spr 2021,5.69,5.46,5.31,5.23,5.69,5.38,5.69,13,EEB 3603
Spr 2022,5.23,4.62,5.0,4.85,5.38,5.0,4.85,13,EEB 3603
Fall 2020,5.75,5.25,5.5,5.5,5.75,5.75,5.75,4,EEB 3701
Fall 2021,5.86,5.71,5.43,5.71,5.86,6.0,5.86,7,EEB 3701
Spr 2022,5.75,5.75,5.25,5.75,5.75,5.75,5.75,4,EEB 3701
Spr 2023,5.5,5.5,6.0,6.0,6.0,6.0,6.0,2,EEB 3701
Spr 2022,4.8,5.2,4.0,5.2,5.0,5.2,4.8,6,EEB 4068
Spr 2023,6.0,5.5,5.5,6.0,6.0,6.0,6.0,2,EEB 4068
Fall 2020,5.89,5.8,5.73,5.59,5.37,5.78,5.87,46,EEB 4129
Fall 2021,5.88,5.64,5.52,5.71,5.31,5.64,5.5,43,EEB 4129
Fall 2022,5.7,5.56,5.36,5.5,5.28,5.54,5.46,50,EEB 4129
Spr 2021,5.53,5.33,4.83,5.03,4.73,5.1,5.17,30,EEB 4134
Spr 2022,5.76,5.76,5.62,5.67,5.43,5.2,5.48,21,EEB 4134
Spr 2023,5.53,5.47,4.91,5.09,5.0,5.0,5.21,34,EEB 4134
Fall 2020,5.6,5.0,5.6,5.2,5.6,5.8,5.2,5,EEB 4329
Fall 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,EEB 4329
Spr 2021,5.0,4.6,3.4,4.4,3.8,4.6,3.8,5,EEB 4611
Spr 2022,4.58,4.17,4.25,4.08,4.67,4.58,4.33,12,EEB 4611
Spr 2023,5.63,5.5,5.5,5.75,5.38,5.38,5.63,8,EEB 4611
Sum 2021,6.0,6.0,6.0,6.0,5.33,5.33,6.0,3,EEB 4839
Sum 2023,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1,EEB 4839
Fall 2020,4.9,4.8,4.0,4.8,5.1,5.1,4.9,10,EEB 5042
Fall 2021,4.67,4.33,4.0,4.25,3.75,4.0,3.83,12,EEB 5042
Fall 2022,4.56,3.67,3.56,4.56,4.0,4.56,3.67,9,EEB 5042
Fall 2021,5.67,4.67,5.33,4.33,5.33,4.33,5.0,3,EEB 5053
Spr 2022,5.21,4.86,4.29,5.07,4.21,4.86,4.57,14,EEB 5068
Spr 2023,6.0,6.0,5.5,5.5,5.5,5.5,6.0,2,EEB 5068
Fall 2021,5.8,5.8,6.0,6.0,5.8,5.8,5.8,5,EEB 5371
Spr 2021,6.0,6.0,5.67,5.0,4.67,4.33,5.0,3,EEB 5381
Fall 2020,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2,EEB 5407
Fall 2021,5.0,4.0,5.0,5.0,4.5,5.5,4.5,2,EEB 5407
Spr 2023,5.0,5.0,5.0,5.0,5.0,6.0,5.0,2,EEB 5407
Fall 2020,6.0,6.0,5.0,5.0,5.0,4.0,5.0,1,EEB 5409
Spr 2021,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2,EEB 5409
Fall 2021,5.0,5.0,3.5,6.0,5.0,6.0,5.0,2,EEB 5409
Spr 2023,6.0,6.0,5.5,6.0,5.5,5.75,6.0,4,EEB 5409
Spr 2021,4.5,4.33,5.17,4.67,4.83,4.17,4.0,6,EEB 5534
Spr 2023,4.8,4.8,5.6,4.8,5.0,3.4,3.8,5,EEB 5534
Fall 2020,5.07,5.13,4.67,4.93,5.13,4.87,5.0,15,EEB 5601
Fall 2021,5.14,5.29,5.29,5.14,5.71,5.29,5.43,7,EEB 5601
Fall 2020,5.86,5.79,5.71,5.71,5.23,5.69,5.86,14,EEB 5609
Fall 2022,5.73,5.91,5.91,5.64,5.36,5.89,5.64,11,EEB 5609
Spr 2021,5.0,6.0,4.0,5.0,5.0,3.0,5.0,1,EEB 5611
Spr 2022,6.0,6.0,5.0,4.0,6.0,6.0,6.0,1,EEB 5611
Spr 2022,6.0,6.0,5.67,5.67,6.0,6.0,6.0,3,EEB 5851
Spr 2023,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1,EEB 5851
Fall 2020,6.0,5.67,5.0,5.67,6.0,6.0,6.0,3,EEB 8100
Spr 2021,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1,EEB 8100
Fall 2021,6.0,6.0,5.67,6.0,6.0,6.0,6.0,3,EEB 8100
Fall 2022,5.5,6.0,6.0,6.0,6.0,6.0,6.0,2,EEB 8100
Fall 2020,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3,EEB 8150
Fall 2021,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1,EEB 8150
Fall 2022,6.0,6.0,,6.0,6.0,6.0,6.0,1,EEB 8150
Fall 2020,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2,EEB 8151
Spr 2021,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1,EEB 8151
Spr 2022,5.0,5.0,,5.0,5.0,,6.0,1,EEB 8151
Spr 2023,6.0,6.0,,6.0,6.0,,5.0,1,EEB 8151
Fall 2020,5.75,5.75,6.0,5.25,5.75,4.5,5.75,4,EEB 8201
Fall 2021,5.5,5.5,5.5,5.5,5.5,5.5,5.5,2,EEB 8201
Fall 2022,5.0,5.0,3.0,5.0,5.0,6.0,5.5,2,EEB 8201
Spr 2021,5.0,6.0,5.5,4.5,5.0,4.0,5.5,2,EEB 8202
Spr 2022,6.0,6.0,,,5.0,,6.0,1,EEB 8202
Fall 2020,5.6,5.2,5.4,5.67,5.5,5.75,5.67,6,EEB 8301
Fall 2021,4.27,4.4,4.75,4.73,5.27,4.89,4.86,12,EEB 8301
Spr 2021,5.33,5.25,5.5,5.33,5.67,4.6,5.67,6,EEB 8302
Spr 2022,5.33,5.5,4.0,4.67,5.33,5.5,5.5,3,EEB 8302
Spr 2023,6.0,6.0,6.0,5.67,5.67,6.0,5.33,3,EEB 8302
Fall 2020,5.0,6.0,,6.0,6.0,,6.0,1,EEB 8500
Fall 2021,6.0,6.0,5.0,5.0,6.0,6.0,6.0,1,EEB 8500
Fall 2020,5.67,6.0,6.0,6.0,6.0,5.0,6.0,3,EEB 8990
Fall 2021,6.0,6.0,5.5,6.0,6.0,6.0,6.0,4,EEB 8990
Fall 2022,5.4,5.5,5.5,5.4,5.6,5.5,5.4,10,EEB 8990
Spr 2023,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1,EEB 8991
Spr 2021,5.23,4.77,5.19,4.92,4.53,4.98,4.92,147,EEB 3408W
Spr 2022,5.24,4.63,5.05,4.89,4.38,4.99,4.69,162,EEB 3408W
Fall 2020,5.29,4.99,5.2,5.02,4.48,4.85,4.98,131,EEB 3412W
Spr 2021,5.45,5.39,5.51,5.42,5.49,5.51,5.5,107,EEB 3412W
Fall 2021,5.41,5.22,5.45,5.39,5.14,5.33,5.37,140,EEB 3412W
Spr 2022,5.32,4.92,5.51,5.0,4.91,5.13,4.88,77,EEB 3412W
Fall 2022,5.1,4.79,5.26,4.96,4.24,4.87,4.63,144,EEB 3412W
Spr 2023,5.5,5.41,5.43,5.28,5.09,5.22,5.44,64,EEB 3412W
Sum 2021,6.0,6.0,6.0,6.0,5.67,6.0,6.0,3,EEB 3811W
Sum 2023,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3,EEB 3811W
Fall 2021,5.29,5.29,5.36,5.07,5.57,5.57,5.36,14,EEB 4330W
Fall 2020,5.71,5.55,5.55,5.5,5.41,5.36,5.55,23,EEB 4609W
Fall 2022,5.38,5.38,5.45,4.85,4.38,4.85,4.85,13,EEB 4609W
Fall 2021,4.92,4.58,4.85,4.92,4.31,4.15,4.38,13,ELED 4121
Spr 2021,4.0,6.0,4.0,5.0,4.0,5.0,4.0,1,EMS 5500
Spr 2022,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1,EMS 5500
Spr 2023,6.0,6.0,,6.0,6.0,6.0,6.0,1,EMS 5500
Fall 2020,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1,EMS 8100
Spr 2022,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1,EMS 8100
Fall 2022,5.5,5.5,,5.5,5.5,5.5,5.5,2,EMS 8100
Spr 2023,6.0,6.0,4.0,5.0,6.0,6.0,6.0,1,EMS 8100
Spr 2022,6.0,6.0,5.5,6.0,5.25,5.5,6.0,4,EMS 8250
Fall 2020,5.82,5.62,5.72,5.52,5.52,5.48,5.62,29,ENGL 1031
Spr 2021,5.32,5.24,5.38,5.38,5.47,5.15,5.56,34,ENGL 1031
Sum 2021,6.0,6.0,5.0,5.5,6.0,6.0,6.0,2,ENGL 1031
Fall 2021,5.25,5.04,5.11,5.07,5.27,5.29,5.18,45,ENGL 1031
Spr 2022,5.23,4.67,5.26,5.08,5.23,5.18,4.87,39,ENGL 1031
Sum 2022,4.67,3.67,3.67,4.33,4.0,4.67,4.33,3,ENGL 1031
Fall 2022,5.31,5.04,5.24,5.18,5.49,5.32,5.33,77,ENGL 1031
Spr 2023,5.04,4.82,5.15,5.18,5.36,4.91,4.94,56,ENGL 1031
Sum 2023,4.88,4.25,5.5,5.13,5.0,5.0,4.88,8,ENGL 1031
Fall 2020,5.71,5.79,5.29,5.57,5.79,5.64,5.86,14,ENGL 1041
Spr 2021,5.89,5.44,5.56,5.67,5.78,5.44,5.67,9,ENGL 1041
Fall 2021,5.2,4.9,5.11,4.8,5.5,5.45,5.11,20,ENGL 1041
Spr 2022,5.8,5.7,5.5,5.9,5.9,5.9,5.8,10,ENGL 1041
Fall 2022,5.7,5.7,5.45,5.7,5.45,5.45,5.8,11,ENGL 1041
Spr 2023,5.67,5.67,5.33,5.89,5.33,5.89,5.67,9,ENGL 1041
Fall 2020,5.73,5.45,5.45,5.55,5.64,5.33,5.76,33,ENGL 1051
Spr 2021,5.8,5.74,5.63,5.66,5.83,5.71,5.79,35,ENGL 1051
Sum 2021,5.47,5.35,5.59,5.35,5.65,5.59,5.47,17,ENGL 1051
Fall 2021,5.34,5.03,5.38,5.41,5.41,5.35,5.44,32,ENGL 1051
Spr 2022,5.87,5.57,5.62,5.75,5.68,5.7,5.81,38,ENGL 1051
Sum 2022,5.33,4.83,5.33,5.17,5.17,5.33,5.17,6,ENGL 1051
Fall 2022,5.64,5.73,5.64,5.36,5.55,5.36,5.45,11,ENGL 1051
Spr 2023,5.36,5.36,5.36,5.44,5.62,5.18,5.59,41,ENGL 1051
Sum 2023,6.0,6.0,6.0,6.0,5.67,5.0,5.67,3,ENGL 1051
Fall 2021,5.75,5.29,4.4,5.13,5.0,5.29,5.63,8,ENGL 1172
Fall 2022,5.75,5.25,3.5,5.25,4.75,5.25,4.75,4,ENGL 1172
Fall 2020,5.33,5.1,5.32,5.38,5.62,5.62,5.51,103,ENGL 1701
Spr 2021,5.21,4.98,5.32,5.3,5.53,5.49,5.53,95,ENGL 1701
Sum 2021,5.5,4.75,5.5,5.5,5.5,5.5,5.75,4,ENGL 1701
Fall 2021,5.32,5.07,5.36,5.41,5.56,5.45,5.56,105,ENGL 1701
Spr 2022,5.53,5.15,5.47,5.49,5.4,5.49,5.42,89,ENGL 1701
Fall 2022,5.28,5.06,5.14,5.24,5.36,5.24,5.23,183,ENGL 1701
Spr 2023,5.12,4.79,5.2,5.11,5.59,5.5,5.21,83,ENGL 1701
Fall 2020,5.4,3.8,4.0,4.0,4.2,2.4,3.2,5,ENGL 1912
Fall 2020,5.71,5.14,4.86,5.57,5.71,5.86,5.57,7,ENGL 1914
Fall 2020,4.88,4.43,5.25,5.0,5.0,5.0,4.57,8,ENGL 1918
Fall 2021,5.5,5.29,4.86,5.0,5.0,4.57,5.29,7,ENGL 1921
Fall 2022,4.17,4.17,4.33,4.0,4.17,4.17,3.67,6,ENGL 1923
Fall 2020,5.63,5.25,3.75,5.0,4.88,3.88,4.63,8,ENGL 3002
Spr 2021,4.67,4.2,4.47,4.47,4.67,3.67,4.07,15,ENGL 3002
Fall 2021,4.78,4.22,4.44,4.0,4.33,3.44,3.44,9,ENGL 3002
Spr 2022,3.75,3.38,3.63,3.69,4.13,3.56,3.19,16,ENGL 3002
Fall 2022,5.63,5.5,5.38,4.75,5.63,5.25,5.13,8,ENGL 3002
Spr 2023,4.33,4.33,4.0,4.44,4.33,3.89,3.44,9,ENGL 3002
Fall 2020,5.6,5.12,5.26,5.33,5.36,4.89,5.18,57,ENGL 3007
Spr 2021,5.79,5.56,5.69,5.64,5.72,5.72,5.74,39,ENGL 3007
Sum 2021,5.8,5.6,5.8,5.6,5.5,5.7,5.7,10,ENGL 3007
Fall 2021,5.56,5.25,5.06,5.17,5.19,5.14,5.19,36,ENGL 3007
Spr 2022,5.72,5.37,5.4,5.57,5.65,5.61,5.63,54,ENGL 3007
Fall 2022,5.69,5.34,5.25,5.41,5.45,5.07,5.28,29,ENGL 3007
Spr 2023,5.85,5.6,5.47,5.57,5.65,5.42,5.69,48,ENGL 3007
Sum 2023,4.5,4.5,5.0,5.17,5.0,4.83,4.33,6,ENGL 3007
Fall 2022,5.88,5.57,5.5,5.25,5.38,5.13,5.38,8,ENGL 3013
Fall 2020,5.38,4.75,5.13,4.75,3.75,5.13,4.5,8,ENGL 3022
Spr 2021,5.43,5.48,5.33,5.33,5.33,5.45,5.52,21,ENGL 3022
Fall 2021,5.5,5.0,5.3,5.7,5.6,5.3,5.4,10,ENGL 3022
Spr 2022,5.11,5.0,5.11,4.78,3.78,5.11,4.56,9,ENGL 3022
Fall 2022,5.82,5.91,5.73,5.82,5.91,5.91,5.91,11,ENGL 3022
Spr 2023,5.5,5.4,4.9,4.8,4.0,5.5,4.5,10,ENGL 3022
Fall 2020,5.41,5.18,5.36,5.41,5.73,5.82,5.73,22,ENGL 3023
Spr 2021,5.56,5.33,5.53,5.39,5.44,5.44,5.5,18,ENGL 3023
Fall 2021,4.44,4.38,4.89,4.33,5.33,4.22,4.33,9,ENGL 3023
Spr 2022,5.7,5.74,5.45,5.65,5.68,5.7,5.7,23,ENGL 3023
Fall 2022,5.0,4.89,4.67,4.89,5.22,3.67,4.22,9,ENGL 3023
Spr 2023,5.67,5.53,5.53,5.35,5.59,4.94,5.35,18,ENGL 3023
Fall 2020,3.5,3.25,3.75,3.5,4.25,3.0,3.0,4,ENGL 3024
Spr 2021,4.17,3.75,4.25,3.67,3.92,3.17,3.42,12,ENGL 3024
Fall 2021,4.5,4.0,5.0,4.5,4.0,3.5,3.5,2,ENGL 3024
Spr 2021,5.67,5.6,5.3,5.43,5.28,5.52,5.53,43,ENGL 3025
Spr 2022,5.28,5.1,5.21,5.17,5.39,5.21,5.03,29,ENGL 3025
Spr 2023,5.81,5.58,5.78,5.61,5.51,5.72,5.67,36,ENGL 3025
Fall 2020,3.83,3.83,3.0,3.83,3.67,2.83,3.33,6,ENGL 3026
Fall 2021,5.4,5.1,4.78,4.9,5.0,4.8,4.6,10,ENGL 3026
Fall 2022,5.0,5.09,3.86,4.64,4.73,3.91,4.55,11,ENGL 3026
Fall 2020,2.89,3.56,2.29,2.89,3.56,2.11,2.0,9,ENGL 3028
Fall 2021,2.33,1.83,2.33,2.17,2.17,1.33,1.5,6,ENGL 3028
Spr 2021,5.85,5.85,5.54,5.62,5.85,5.77,5.77,13,ENGL 3040
Fall 2020,5.6,4.9,5.1,5.3,5.3,5.6,5.4,10,ENGL 3061
Spr 2021,5.82,5.36,5.82,5.45,5.7,5.9,5.82,11,ENGL 3061
Fall 2021,5.8,5.9,5.56,5.7,5.67,5.56,5.9,10,ENGL 3061
Spr 2022,5.64,5.57,5.15,5.43,5.71,5.64,5.71,14,ENGL 3061
Fall 2020,5.8,5.84,5.75,5.88,5.79,5.84,5.88,25,ENGL 3071
