Term,DEEP_UND,STIM_INT,TECH_EFF,ACC_SUP,EFFORT,GRAD_STAND,RECC,RESP,FULL_NAME
Spr 2022,5.0,5.0,5.25,4.5,5.25,5.5,5.25,4,ABUS 3301
Fall 2022,4.8,4.6,4.6,5.0,5.4,5.4,5.2,5,ABUS 3301
Spr 2023,5.0,4.46,5.38,5.15,5.08,5.42,4.82,13,ABUS 3301
Sum 2023,5.0,4.0,4.5,4.5,5.0,5.5,4.5,2,ABUS 3301
Fall 2020,4.33,4.33,5.0,5.0,5.2,4.83,5.17,6,ABUS 3510
Sum 2021,5.5,5.5,6.0,6.0,6.0,5.5,6.0,2,ABUS 3510
Fall 2021,5.43,5.0,5.43,5.43,5.43,5.29,5.57,7,ABUS 3510
Fall 2022,5.33,5.33,5.67,5.33,5.67,5.67,5.67,3,ABUS 3510
Spr 2023,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5,ABUS 3950
Fall 2020,5.63,5.4,5.65,5.5,5.7,5.75,5.75,20,ABUS 4022
Spr 2021,5.47,5.33,5.73,5.47,5.4,5.87,5.67,15,ABUS 4022
Sum 2021,5.8,5.4,5.8,5.8,6.0,6.0,5.8,5,ABUS 4022
Fall 2021,5.84,5.21,5.95,5.79,5.84,5.95,5.84,20,ABUS 4022
Spr 2022,5.6,5.27,5.47,5.4,5.27,5.4,5.33,15,ABUS 4022
Fall 2022,5.8,5.67,5.8,5.8,5.8,5.67,5.8,15,ABUS 4022
Spr 2023,5.37,4.89,5.42,5.32,5.0,5.16,5.11,19,ABUS 4022
Sum 2023,5.0,4.67,5.0,5.33,5.67,5.33,6.0,3,ABUS 4022
Fall 2020,5.11,4.56,5.0,4.78,5.11,5.67,4.78,9,ABUS 4041
Spr 2021,5.3,4.9,5.6,5.3,4.8,5.2,4.6,10,ABUS 4041
Fall 2021,5.4,5.0,5.6,5.4,4.9,5.0,4.9,11,ABUS 4041
Spr 2022,5.14,4.2,5.17,5.0,3.83,4.17,3.67,7,ABUS 4041
Fall 2022,5.46,5.08,5.54,5.23,4.62,4.92,4.62,13,ABUS 4041
